Distribution of women and men in various roles in the media ecosystem.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Senegal,,Burkina Faso,,Togo,,,,`
Role,Female,Male,Female,Male,Female,Male,,,
Editor,6.7%,12.9%,13.2%,7.7%,9.3%,23.1%,,,
Presenter,2.7%,3.2%,5.7%,0.0%,27.9%,19.2%,,,
Intern,0.0%,0.0%,3.8%,0.0%,0.0%,0.0%,,,
Journalist,80.0%,80.6%,66.0%,56.4%,39.5%,42.3%,,,
Media Director,0.0%,0.0%,1.9%,7.7%,7.0%,0.0%,,,
Media owner,2.7%,3.2%,5.7%,15.4%,9.3%,7.7%,,,
Correspondent,4.0%,0.0%,3.8%,2.6%,2.3%,3.8%,,,
Technician,2.7%,0.0%,0.0%,5.1%,0.0%,3.8%,,,
Trainer,0.0%,0.0%,0.0%,5.1%,0.0%,0.0%,,,
Secretary ,0.0%,0.0%,0.0%,0.0%,2.3%,0.0%,,,
Documentary and magazine producer ,0.0%,0.0%,0.0%,0.0%,2.3%,0.0%,,,
"*Note: Male and female respondents' roles were analysed independently, showing the respresentation of each gender in various media roles as per the number of male/female respondents.",,,,,,,,,
