"Source : Center for Citizens with Disabilities, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
Provision of PWD-Friendly Facilities in the Surveyed Federal Ministries and MDAs in Enugu,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type of Facility,Ministry of Education,Ministry of Health,Ministry of Women Affairs,Ministry of Information,Ministry of Works & Housing,Ministry of Youths Development,Ministry of Sports,Ministry of Transport,Ministry of Labour,Subsidy Reinvestment & Empowerment Programme,National Directorate of Employment,Ministry of Justice,Sum
Availability of Disability Policy,1,0,0,0,0,0,0,0,0,0,0,0,1
Building with Bungalow Section,1,1,0,1,0,1,1,1,1,0,0,0,8
Building with Storey,1,0,1,1,1,0,0,0,0,1,1,1,7
Constructed with Elevator,0,0,0,0,0,0,0,0,0,1,1,1,2
Ramp Available,0,0,1,0,1,0,0,1,0,0,0,0,3
Sidewalk Available,0,0,1,0,1,0,0,1,0,0,0,0,3
Building with Map,0,1,0,1,0,0,0,0,0,0,0,0,2
Instruction in Braille/Tactile/Audio,0,0,0,0,0,0,0,0,0,0,0,0,0
Suitability of Toilet,0,0,1,0,0,0,0,0,0,0,0,0,1
Accessibility of Reception,0,0,0,0,1,0,0,1,1,1,1,0,5
Automates Doors,0,0,0,0,0,0,0,0,0,0,0,0,0
Doors wide enough for Wheelchair,0,0,0,0,0,1,1,0,0,0,0,0,2
Hand Rails on both sides of Stairs,0,0,1,1,1,0,0,1,0,0,0,0,4
Sum,3,2,5,4,5,2,2,5,2,3,3,2,38
Total,1,0,1,1,1,0,0,0,0,2,2,2,
Total percentage,8,0,8,8,8,0,0,0,0,15,15,15,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
0= Facility not available as at the time the survey was conducted,,,,,,,,,,,,,
1= Facility was available as at the time the survey was conducted,,,,,,,,,,,,,
