"Source : Center for Citizens with Disabilities, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
Provision of PWD-Friendly Facilities in the Surveyed Federal Ministries and MDAs in Lagos,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type of Facility,Ministry of Education,Ministry of Health,Ministry of Women Affairs,Ministry of Information,Ministry of Works & Housing,Ministry of Youths Development,Ministry of Sports,Ministry of Transport,Ministry of Labour,Subsidy Reinvestment & Empowerment Programme,National Directorate of Employment,Ministry of Justice,Sum
Availability of Disability Policy,1,1,1,1,1,1,1,1,1,0,0,1,10
Building with Bungalow Section,0,0,0,0,0,0,0,0,0,1,0,0,1
Building with Storey,1,1,1,1,1,1,1,1,1,0,1,1,11
Constructed with Elevator,1,1,0,1,1,0,0,0,0,0,1,1,6
Ramp Available,1,1,0,1,1,0,0,1,1,1,0,1,7
Sidewalk Available,0,1,1,1,1,1,1,1,1,0,0,1,9
Building with Map,1,1,0,1,1,0,0,0,0,0,0,0,4
Instruction in Braille/Tactile/Audio,0,0,0,0,0,0,0,0,0,0,0,0,0
Suitability of Toilet,0,0,0,0,1,0,0,0,0,0,0,0,1
Accessibility of Reception,0,0,1,0,1,1,1,1,1,0,0,1,7
Automates Doors,0,0,0,0,0,0,0,0,0,0,0,0,0
Doors wide enough for Wheelchair,0,0,0,0,0,0,0,0,0,0,0,0,0
Hand Rails on both sides of Stairs,0,1,0,0,1,1,1,1,0,0,0,0,5
Sum,5,7,4,6,9,5,5,6,5,1,2,6,61
Total percentage,38,54,31,46,69,38,38,46,38,8,15,46,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
0= Facility not available as at the time the survey was conducted,,,,,,,,,,,,,
1= Facility was available as at the time the survey was conducted,,,,,,,,,,,,,
