Source:,https://www.ilo.org/wcmsp5/groups/public/---africa/---ro-abidjan/---ilo-dar_es_salaam/documents/publication/wcms_517516.pdf,
,,
Domestic Workers Legislation,,
,,
"Employment
Contracts",Types,"AsinDomesticWorkersConvention,2011(No.189),the
Employment and Labour Relations Act of Tanzania also provides
for oral and written contracts of employment with a caveat
that even for oral contracts of employment, some terms and
conditions of employment must be in writing. Similarly, the
Employment Act of Zanzibar recognizes both written and oral
contracts although it limits the length of an oral contract not
to exceed six months. Domestic workers may enter into any
category of the employment contracts."
,Practice,"In this Situational Analysis, 80 percent of domestic workers
interviewed were unsure of the employment relationship in the
sense of the type of contract they have with their employers
because they had no contract, or never talked about terms with
employers. This is irrespective of the legal requirement that
some of the terms and conditions of employment must be kept
in writing and the employee must be served with the copy of
the same."
Remuneration,Amount,"A new minimum wage has been set in 2013 in 4 categories
ofdomesticworkers:(1)domesticservantsemployedby
Diplomats and Potential Businessmen TZS 150,000, an increase
from the previous TZS 90,000; (2) Domestic workers employed
by Entitled Government Officers TZS 130,000, an increase from
TZS 80,000; (3) Live-out domestic workers NOT employed by
employers in category (1) and (2) above TZS 80,000; and (4) Live-
in domestic workers  NOT employed by employers in categories
(1) and (2) above TZS 40,000.00. The reduction of 68 percent of
live-in domestic workers is no longer applicable. The situational
analysis found that the average pay among domestic workers
employed by diplomats ranged from TZS100,000 to 250,000
while for live-in domestic workers as low as TZS 25,000 and as
high as TZS 100,000. Average pay for live-out domestic workers
closely mirrors the minimum way for that category."
,Method,"Findings from the qualitative research on employment practices
and working conditions in Zanzibar and Dar es Salaam reveal
thatotherformsofâ€œexchangeâ€andsocialarrangements
betweentheemployer-householdandthedomesticworker
or his/her family were governing the rendering of services by
some domestic workers to private households. Food and shelter,
schooling and financial aid are some of the â€œcurrenciesâ€ at work
inthesearrangements.Theseinformalsocialarrangements
may explain the considerable proportion of domestic workers
reportedly not being remunerated."
,"Payment of
wages","Outofalldomesticworkersidentifiedbythesurvey,some
53 per cent reported being paid, in cash and/or in kind. This
proportion is similar in rural (52 per cent) and urban (53 per
cent)areas.Theshareofpaiddomesticworkersisslightly
higher among women (55 per cent) than among men (44 per
cent). The incidence of explicit remuneration for work rendered
tends to be higher among male domestic workers employed in
rural areas (85 per cent) and among female domestic workers
employed in urban areas (62 per cent)."
Working Time,"Working
Hours","Normal working hours in Tanzania are 9 hours a day, 45 a week
and not more than 6 days a week according to the Employment
andLabourRelations
Act.SimilarlyinZanzibar,thenormal
working hours are not more than 8 hours a day and not more
than 42 hours in a week according to the Employment Act of
Zanzibar. Most violations of working hours were found among
live-indomesticworkerswhereby70percentofdomestic
workers were said to work between 14 and 16 hours, while 20
percent worked between 10 and 14 hours. None of the domestic
workers reported being paid overtime."
,Rest periods,"EmploymentandLabourRelationsActof2004ofTanzania
provides for three kinds of rest periods; daily break, daily rest and
weekly rest. Provisions are also made for compulsory holidays.
Findingsofthequalitativeresearchindicatethatdomestic
workers do not have daily breaks except when the employers
are not present. Weekly rest is deemed unpredictable because
itisdependentontheemployerâ€™sdecision.Mostdomestic
workers have only been able to observe compulsory holidays
when the employer has had no visitors or children are away. A
few mentioned being paid for working over compulsory holiday,
but mostly in kind."
