Source: ,"WIEGO, 2022"
,
This dataset contains information on domestic workers by gender in Uganda 2022.,
,
Statistic,Percentage
Percentage of total employed people who are domestic workers,2.5%-5%
Percentage of live-in domestic workers (women),66%
Percentage of live-in domestic workers (men),80%
Percentage of live-in domestic workers working more than 48h per week (women),75%
Percentage of live-in domestic workers working more than 48h per week (men),49%
Percentage of live-out domestic workers working more than 48h per week (women),49%
Percentage of live-out domestic workers working more than 48h per week (men),63%
