Name,"Year Added",Sector,Location,Size,"Public commitment to gender equality","Definition of gender","Workplace gender equality policy","Workplace diversity and inclusion policy","Board diversity policy","Gender parity in senior management","Gender parity in governing body","Gender of the CEO","Gender of the Board Chair","Sex-disaggregation of monitoring and evaluation data"
"AB InBev",2018,"Private Sector",Europe,"1000+ employees",GW+,R,G,G,G,R,R,M,M,R
AbbVie,2018,"Private Sector","North America","1000+ employees",GW+,R,G+,G,A,R,A,M,M,G
ABCHealth,2020,"NGOs & Non-profits","Sub-Saharan African","1-49 employees",R,R,NA,NA,NF,NF,NF,W,M,R
"Abt Global",2018,"Private Sector","North America","1000+ employees",GSL5+,G+,GE+,G,G,G,A,W,M,G
Accenture,2018,Consultancy,Europe,"1000+ employees",GW5+,A,G+,G,A,R,G,W,W,R
"ACTION Global Health Advocacy Partnership",2018,"NGOs & Non-profits","North America","1-49 employees",GP,R,NA,NA,NF,P,P,W,W,R
"Action on Smoking and Health (ASH)",2018,"NGOs & Non-profits","North America","1-49 employees",A+,R,NA,NA,NF,P,R,M,M,R
"Africa CDC",2019,"Research & Surveillance","Sub-Saharan African","50-249 employees",GP,G,G,G,NF,R,NF,M,W,R
"Africa Centre for Global Health and Social Transformation (ACHEST)",2019,"NGOs & Non-profits","Sub-Saharan African","1-49 employees",G,A,A,R,A,NF,G,M,W,G
"Africa Christian Health Association Platform (ACHAP)",2019,"Faith based","Sub-Saharan African",,A,R,NF,NF,A,NF,R,W,M,R
"Africa Population and Health Research Centre (APHRC)",2019,"Research & Surveillance","Sub-Saharan African","50-249 employees",GP,G,G,A,G,G,A,W,M,G
"African Union Commission (AUC)",2018,"Regional Organisations","Sub-Saharan African","1000+ employees",GP,G,G,G,MS,NF,NF,M,M,R
"Aga Khan Foundation (AKF)",2019,"Philanthropic and Funders",Europe,"1000+ employees",G,G,G,NF,NF,R,P,M,M,G
"Agence Française de Développement (AFD)",2018,"Bilaterals and Global Multilaterals",Europe,"1000+ employees",GPS+,G,G+,G,R,R,A,M,M,G
ALIGHT,2018,"NGOs & Non-profits","North America","1000+ employees",A+,R,R,R,NF,G,P,W,W,R
"Aliko Dangote Foundation (ADF)",2020,"Philanthropic and Funders","Sub-Saharan African","1000+ employees",RS,R,NF,NF,NF,R,R,M,M,R
"Alliance for Health Policy and Systems Research (AHPSR)",2019,"Research & Surveillance",Europe,"1-49 employees",G,G,G,A,A,G,G,M,W,G
"American Jewish World Service (AJWS)",2019,"Faith based","North America","50-249 employees",GP+,R,A,G,NF,P,P,M,M,R
"amfAR, Foundation for AIDS Research",2018,"NGOs & Non-profits","North America","50-249 employees",A+,R,NF,NF,NF,R,R,M,M,A
"Amref Health Africa",2018,"NGOs & Non-profits","Sub-Saharan African","1000+ employees",G+,R,A,A,NF,G,G,M,M,G
"Association of Southeast Asian Nations (ASEAN)",2020,"Regional Organisations",Asia,"250-999 employees",G,G,NF,NF,MS,NF,NF,M,M,G
"Becton, Dickinson and Company",2018,"Private Sector","North America","1000+ employees",GW+,R,G,G,A,R,R,M,M,R
"Bill & Melinda Gates Foundation",2018,"Philanthropic and Funders","North America","1000+ employees",G+,G,A,G,A,P,A,M,MW,A
"Bloomberg Philanthropies",2019,"Philanthropic and Funders","North America","1-49 employees",GP+,R,G,G,NF,P,R,W,M,R
BP,2018,"Private Sector",Europe,"1000+ employees",R,R,G+,G,G,P,G,M,M,R
BRAC,2018,"NGOs & Non-profits",Asia,"1000+ employees",GL+,G+,G,A,A,R,G,M,M,G
"Bristol-Myers Squibb",2018,"Private Sector","North America","1000+ employees",GCW5,R,G+,G,A,G,R,M,M,G
"CARE International",2018,"NGOs & Non-profits",Europe,"1000+ employees",G+,G+,G+,G,G,G,P,W,W,G
"Caribbean Public Health Agency (CARPHA)",2019,"Regional Organisations","Latin America and the Caribbean","50-249 employees",A,G,NF,NF,MS,G,NF,W,NA,A
"Caritas Internationalis",2019,"Faith based",Europe,"1000+ employees",G,R,G,G,G,G,R,M,M,G*
"Caterpillar Foundation",2018,"Philanthropic and Funders","North America",,GP+,R,G+,G,A,R,R,W,M,R
"Catholic Medical Mission Board (CMMB)",2019,"Faith based","North America","250-999 employees",A,R,NF,NF,NF,P,G,W,M,G
"Catholic Relief Services (CRS)",2019,"Faith based","North America","1000+ employees",GL,G,A,A,NF,A,R,M,M,G
"Centers for Disease Control and Prevention (US)",2018,"Research & Surveillance","North America","1000+ employees",G,G+,A,A,NA,A,NA,W,NA,R
"China CDC",2019,"Research & Surveillance",Asia,"1000+ employees",A,R,NF,NF,NF,R,NF,M,NA,R
"China Foundation for Poverty Alleviation (CFPA)",2019,"NGOs & Non-profits",Asia,"1000+ employees",A,R,NF,NF,NF,A,R,M,M,R
"Clean Cooking Alliance",2018,"Public-Private Partnerships","North America","1-49 employees",GP,R,G+,G,NF,P,G,W,W,R
"Clinton Health Access Initiative (CHAI)",2018,"NGOs & Non-profits","North America","1000+ employees",G+,G+,A+,G,NF,A,R,M,M,G
Coca-Cola,2018,"Private Sector","North America","1000+ employees",GPW5+,R,G+,G,R,G,G,M,M,R
"Community of Latin American and Caribbean States (CELAC)",2020,"Regional Organisations","Latin America and the Caribbean",,GP,R,NF,NF,NF,NF,NF,M,NF,R
"Consumer Brands Association",2018,"Private Sector","North America","50-249 employees",R,R,R,R,R,G,R,M,W,R
Cordaid,2019,"NGOs & Non-profits",Europe,"250-999 employees",GL+,G+,G,A,A,P,P,W,M,G
