Source:,https://data.unwomen.org/publications/whose-time-care-unpaid-care-and-domestic-work-during-covid-19,,
,,,
,,,
"Proportion of people who reported do not usually do or increase in time spent on unpaid domestic work since COVID-19, by sex and activity (percentage)",,,
as of 25 November 2020,,,
,,,
,,Women,Men
Unpaid domestic work,,,
,Proportion with increased time spent in at least one unpaid domestic activity,60%,54%
,Proportion with increased time spent in at least three unpaid domestic activities,28%,16%
Unpaid domestic work activities,,,
,Proportion not usually doing cooking,17%,48%
,Proportion with increased time spent in cooking,32%,18%
,Proportion not usually doing  cleaning,13%,33%
,Proportion with increased time spent in cleaning,45%,35%
,Proportion not usually doing  shopping,23%,29%
,Proportion with increased time spent in shopping,25%,22%
,"Proportion not usually doing  decoration, repair, maintenance",29%,33%
,"Proportion with increased time spent in decoration, repair, maintenance",29%,24%
,Proportion not usually doing  pet care,60%,61%
,Proportion with increased time spent in pet care,13%,14%
,,0%,0%
