Source: ,"International Monetary Fund (IMF), 2020"
,
"This dataset contains information on the Government Support for employees in Spain, Latin America & Caribbean, Mexico, South Africa, Ghana during COVID-19 in 2020.",
,
Country,Support Measure
Spain,Income security covering 70% of wage (equivalent to unemployment insurance)
Latin America & Caribbean,"Initially excluded, later added to emergency program after advocacy"
Mexico,"Loans with optional repayment to SMEs, self-employed, and domestic workers (25,000 pesos per loan)"
South Africa,Temporary Employer/Employee Relief Scheme (TERS)
Ghana,"CAP Business Support Scheme Additional Funding - 150 million
Guarantee Scheme for Business Credit - 2 billion (Presidential Address)"
