Source:,"Kenya Demographic and Health Survey, 2022",
Link:,https://dhsprogram.com/pubs/pdf/FR380/FR380.pdf,
,,
"This dataset contains information on percent distribution of men and women age 15–49 by ability to read a whole sentence by county, Kenya 2022.",,
,,
County,Men (%),Women (%)
Mombasa,55.5,64.9
Kwale,71.7,54.7
Kilifi,78.4,67.8
Tana River,37.2,39
Lamu,74.1,70.4
Taita/Taveta,75.1,71.6
Garissa,57.4,25.1
Wajir,58.4,23.8
Mandera,39.1,19.1
Marsabit,55.7,18.5
Isiolo,55,40.2
Meru,66.6,65.4
Tharaka-Nithi,58.1,65.8
Embu,73.2,67.9
Kitui,66.7,60.6
Machakos,72.6,62.4
Makueni,72,71.1
Nyandarua,73.7,78.1
Nyeri,67.2,66.8
Kirinyaga,57.5,67.3
Murang’a,76.7,73.6
Kiambu,56.7,61.8
Turkana,33.8,22.2
West Pokot,50.5,32.8
Samburu,51.5,28.7
Trans Nzoia,58.7,67.5
Uasin Gishu,59.3,59.1
Elgeyo/Marakwet,63.1,54.1
Nandi,36,67.6
Baringo,59.8,53.8
Laikipia,67,64
Nakuru,57.5,71.9
Narok,36.9,57.6
Kajiado,56.2,50
Kericho,61.1,54
Bomet,72.8,74.4
Kakamega,79.1,71
Vihiga,64.2,77.6
Bungoma,62.5,69.8
Busia,65.9,59.3
Siaya,57.2,61.9
Kisumu,52.7,73.7
Homa Bay,70.5,77.6
Migori,70.5,66.2
Kisii,57.2,70.4
Nyamira,60.4,86.4
Nairobi City,49.9,56.6
