"Source: World Bank, 2017",
Primary School enrolment & completion rate,
,
Year,"Primary completion rate, total (% of relevant age group) - Uganda"
1975,40%
2017,53%
,
,
Year,"School enrollment, primary (% gross) - Uganda"
1975,45.5
1976,47.0
1977,50.1
1978,51.7
1979,50.9
1980,52.9
1981,55.7
1982,62.1
1983,64.3
1984,69.4
1985,73.7
1986,73.7
1987,74.2
1988,74.7
1989,70.4
1990,71.0
1991,71.3
1992,64.0
1993,68.5
1994,68.9
1995,69.5
1996,70.6
1997,117.7
1998,124.4
1999,130.2
2000,131.5
2001,133.7
2002,137.7
2003,138.3
2004,129.4
2005,122.9
2006,121.6
2007,120.7
2008,123.5
2009,124.7
2010,122.0
2011,114.3
2012,113.9
2013,112.0
2014,112.5
2015,102.6
2016,104.0
2017,102.7
