Source: ,"AIDS and Behavior, 2021"
,
"This dataset contains information on the experiences of sex workers during the COVID-19 pandemic in Kisumu, Kenya, 2021.",
,
Category,Percentage
"Common Venues for Client Engagement (Bars, Clubs, Entertainment Venues)",78.80%
Client Engagement via Telephone,39.40%
Client Engagement on Roadsides/Streets,22.30%
Concern About SARS-CoV-2 Infection,52.90%
Increase in Stigma or Discrimination During Lockdown,17.10%
Experienced Violence from Client/Regular Non-Paying Partner During Lockdown,14.50%
Reported Lower Payments from Clients,79.30%
Reported Fewer Clients,83.90%
