Source: ,2021 Kenya Time Use Survey,,,,,
Link:,https://www.knbs.or.ke/wp-content/uploads/2023/10/Kenya-Time-Use-Survey-2021_1.pdf,,,,,
,,,,,,
"This dataset contains information on the proportion of time spent per day on unpaid domestic and care work by population aged 15 years and above, by sex, work status, area of residence and county in Kenya as of 2021.",,,,,,
,,,,,,
County,Working Male,Working Female,Working Total,Not Working Male,Not Working Female,Not Working Total
Mombasa,3.5,15,8.4,5.5,22.6,17.1
Kwale,2.9,15.8,9.3,3.1,20.4,14.9
Kilifi,3.5,14.4,8.9,3.1,14.9,10.5
Tana River,3,17.7,9.9,3.6,18.6,14.3
Lamu,2.5,17.9,9.9,3.6,16.1,13
Taita Taveta,4.5,19.1,11.2,7.1,17.7,13.9
Garissa,3.1,16.5,8.3,1.6,24.9,20.2
Wajir,2,23.1,7.8,1.6,25.7,20.4
Mandera,2.1,22,7.9,1.6,27,23.4
Marsabit,7,30.6,23.4,5.6,30.2,19.4
Isiolo,1.6,13.7,6.7,2.9,23.8,19.4
Meru,2.7,17.9,10.4,2.9,20.1,14.3
Tharaka Nithi,4,17.5,10.8,4.4,14.4,10.7
Embu,3.5,15.9,11.2,3.3,16.6,10.7
Kitui,3.6,14.4,8.1,4,17.6,11.9
Machakos,3.5,13.3,8.5,3.6,19.8,13.4
Makueni,4.4,17.9,12,4.4,19.5,13.6
Nyandarua,4.2,16.1,10.5,5.2,15.4,11.8
Nyeri,2.2,13.6,8.2,4.6,18.3,13.7
Kirinyaga,3.5,15.6,9.3,5,22.5,17.9
Murang’a,3.5,18.4,11.3,2.5,18.6,12
Kiambu,3,17.1,9.2,6,23.1,18.3
Turkana,3.5,21.1,16.9,4.7,23.4,19.8
West Pokot,3.5,18.6,11.5,3.5,19.8,14.5
Samburu,4.3,24.6,17.4,4.7,23.5,17.9
Trans Nzoia,3.6,17.7,10.2,7.1,21.5,16.2
Uasin Gishu,2.9,13.2,8.1,4.1,16.5,12.6
Elgeyo/Marakwet,3.7,16.1,12.3,3.6,24.3,20
Nandi,2.4,20,10.9,4.2,17.5,12.7
Baringo,2.5,19.8,10.9,3,17.8,13.7
Laikipia,4.1,17.7,10.8,5.3,20.1,13.2
Nakuru,3.1,17.4,10.5,5.5,24.5,19.2
Narok,3.4,20.4,11.1,9.2,32.5,23.9
Kajiado,2.1,15.2,8.9,2.3,15.1,10.9
Kericho,2.5,18.5,11.6,4.6,22,19.1
Eldoret,2.9,20.3,12.7,2.7,13.5,9.5
Kakamega,4.8,19.7,14.2,5.5,18.8,16.1
Vihiga,6.3,19.1,14,4.4,14.3,10.9
Bungoma,3.9,19.2,13.8,7.9,27.6,21.5
Busia,4.7,21.8,14.7,4.9,18.3,17.3
Siaya,4.7,19.8,12.7,7.4,21.6,19.8
Kisumu,4.3,19.6,12.7,7.4,22.8,19.8
Homa Bay,3.7,16.3,11.3,5.3,21.6,19.4
Migori,4.5,20.2,13.4,6,21.6,18.4
Kisii,3.5,21.2,14.5,5,21.5,16.5
Nyamira,3.2,15.4,9.9,5.9,21.3,15.2
Nairobi City,3.9,12.7,8.4,8.5,23.4,21.2
