Source: ,"UN, 2020"
,
This dataset contains information on wages for domestic workers live-in status and education in Uganda 2020.,
,
,Wage (UGX)
Live-in domestic worker wage (2017) - Low,"50,000 (US$15)"
Live-in domestic worker wage (2017) - High,"100,000 (US$30)"
Proposed minimum wage (Government),"130,000 (US$37)"
Average wage for workers with no education or less than P1,"143,045 (US$26)"
Average wage for workers with primary education,"211,327 (US$57)"
Average wage for workers with lower secondary education,"350,112 (US$95)"
Average wage for workers with upper secondary education,"492,492 (US$133)"
