Source: ,"IWMF, 2023"
,
This dataset contains information on women journalists in leadership positions in their newsrooms in Uganda in 2023.,
,
Category,Percentage
Women in governance executive ranks,48.4%
Women in top management,50.0%
Women in middle management,40.0%
Women in senior management,44.7%
Women in junior professional levels,42.0%
Women in senior professional levels,43.3%
Women in production and design,30.8%
"Women in technical professional roles (camera, sound, lighting)",40.0%
