Source,Agricultural land (% of land area) | Data (worldbank.org),
,Population growth (annual %) | Data (worldbank.org),
,,
,,
,,
Year,Change in Agricultural Land under Cultivation,Population growth (annual %)
1961,,4%
1962,0%,4%
1963,0%,4%
1964,0%,4%
1965,0%,4%
1966,0%,4%
1967,0%,4%
1968,0%,4%
1969,0%,4%
1970,0%,4%
1971,0%,4%
1972,0%,4%
1973,0%,3%
1974,0%,3%
1975,1%,3%
1976,0%,3%
1977,0%,3%
1978,0%,3%
1979,0%,3%
1980,0%,4%
1981,0%,4%
1982,0%,4%
1983,0%,4%
1984,0%,4%
1985,1%,4%
1986,0%,4%
1987,0%,4%
1988,0%,4%
1989,1%,3%
1990,0%,3%
1991,0%,3%
1992,0%,3%
1993,0%,3%
1994,1%,3%
1995,0%,3%
1996,-1%,3%
1997,0%,3%
1998,0%,3%
1999,1%,3%
2000,0%,3%
2001,0%,3%
2002,0%,3%
2003,0%,3%
2004,0%,3%
2005,0%,3%
2006,0%,3%
2007,0%,3%
2008,0%,3%
2009,0%,3%
2010,0%,3%
2011,1%,3%
2012,0%,3%
2013,0%,2%
2014,0%,2%
2015,0%,2%
2016,0%,2%
2017,0%,2%
2018,0%,2%
2019,0%,2%
2020,0%,2%
2021,,2%
