"Source: ONE Data, 2024",
,
Climate finance disbursements (recipient perspective - Africa) (current USD) (2017 to 2021),
,
Country,Amount in USD
Morocco,193M
Tunisia ,273M
Egypt,862M
Senegal ,317M
Mali,179M
Côte d'Ivoire,303M
Ghana,153M
Benin,112M
Nigeria,335M
Burkina Faso,202M
Niger,192M
Benin,112M
Cameroon ,125M
Mauritania,365M
Algeria,13.5M
Libya,4.53M
Guinea-Bissau,20.2M
Guinea ,69.1M
Sierra Leone,60.4M
Liberia,75.4M
Chad,67.9M
Togo,39.9M
Equatorial Guinea,2.86M
Gabon,25.4M
Republic of the Congo,7.44M
Central African Republic,12.5M
Congo DRC,182M
South Sudan,53.7M
Sudan,411M
Eritrea,2.71M
Ethiopia,393M
Somalia,86.4M
Kenya,805M
Uganda,110M
Rwanda,154M
Burundi,64.4M
Tanzania,213M
Angola,147M
Zambia,76.3M
Malawi,112M
Mozambique,319M
Zimbabwe,37.4M
Botswana,153M
Namibia,38.3M
South Africa,295M
Eswatini,10.9M
Madagascar,152M
Djibouti,23M
Sao Tome and Principe,6.95M
Seychelles,1.04M
Comoros,18.3M
Cabo Verde,23.8M
