Sourec:,https://www.knbs.or.ke/?page_id=1591,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Quarter,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2
Accommodation & Food Storage,-10.50%,-1.90%,0.80%,7.40%,8.30%,14.00%,13.40%,17.30%,24.00%,12.40%,12.10%,8.90%,13.30%,15.10%,15.50%,21.50%,11.00%,12.10%,9.90%,9.00%,-9.30%,-83.30%
Education,4.40%,4.70%,4.90%,5.60%,5.40%,5.10%,5.80%,4.70%,5.10%,5.10%,4.70%,5.90%,5.30%,5.20%,5.50%,7.00%,4.30%,6.00%,6.00%,5.50%,5.30%,-56.20%
Professional Admin & Support Services,7.00%,4.00%,0.70%,-1.00%,3.50%,5.70%,4.00%,4.60%,3.40%,5.10%,2.10%,4.30%,6.20%,7.50%,6.60%,3.50%,5.50%,4.20%,4.80%,4.90%,4.40%,-15.70%
Transport & Storage,8.30%,9.00%,10.30%,4.80%,8.20%,5.90%,4.10%,8.10%,7.80%,6.90%,5.20%,9.00%,6.50%,6.60%,8.50%,11.80%,6.40%,7.60%,7.60%,9.20%,6.10%,-11.60%
Wholesale and Retail Trade,5.70%,4.90%,7.00%,6.00%,2.90%,1.80%,4.10%,6.10%,3.50%,5.10%,6.70%,7.50%,5.60%,6.50%,7.30%,7.90%,6.30%,7.80%,6.10%,6.40%,6.40%,-6.90%
Manufacturing,2.90%,3.00%,4.60%,3.90%,1.40%,4.90%,4.00%,2.00%,1.90%,0.40%,0.40%,0.10%,3.20%,3.90%,5.10%,5.20%,3.50%,4.00%,3.20%,2.30%,2.90%,-3.90%
Electricity & Water Supply,9.80%,11.90%,9.10%,3.50%,10.30%,11.50%,6.70%,4.90%,8.20%,8.30%,5.80%,5.40%,6.10%,8.30%,8.10%,9.50%,7.80%,7.30%,6.40%,6.40%,6.30%,-0.60%
Real Estate,6.30%,6.90%,7.00%,8.60%,9.60%,8.90%,8.40%,8.20%,6.50%,6.40%,6.10%,5.60%,5.20%,4.50%,3.80%,3.10%,4.80%,6.00%,5.50%,5.10%,4.30%,2.20%
Construction,12.90%,12.20%,17.00%,13.20%,9.20%,7.30%,9.90%,13.00%,7.90%,9.10%,5.40%,11.20%,6.70%,5.60%,7.30%,7.70%,6.10%,7.20%,6.60%,5.70%,5.30%,3.90%
FISIM,13.30%,13.10%,12.70%,14.90%,7.00%,3.00%,-1.30%,-5.90%,-1.50%,-5.50%,-2.50%,-7.90%,-3.10%,-2.40%,1.90%,7.40%,4.60%,7.30%,6.80%,5.70%,5.00%,4.00%
Financial & Insurance,10.10%,8.80%,11.80%,7.00%,7.80%,7.50%,6.40%,6.10%,3.90%,3.30%,2.10%,1.40%,4.00%,3.50%,5.10%,8.50%,6.30%,5.20%,8.10%,6.60%,6.20%,4.20%
Information & Communication,8.90%,8.30%,5.90%,6.80%,10.80%,7.50%,9.40%,11.10%,13.40%,11.20%,10.70%,9.40%,13.20%,11.70%,9.80%,10.60%,10.20%,7.80%,8.10%,9.40%,9.70%,4.30%
Public Administration,-1.40%,9.10%,8.80%,5.70%,6.00%,7.20%,5.50%,3.50%,2.60%,3.10%,4.40%,8.80%,5.50%,6.10%,7.10%,8.10%,8.90%,8.70%,8.40%,6.20%,6.70%,5.70%
Agriculture,7.80%,4.40%,4.00%,4.50%,3.60%,7.60%,2.10%,5.20%,4.00%,0.50%,2.30%,-1.30%,6.70%,5.90%,6.80%,3.90%,4.70%,2.90%,2.40%,4.00%,4.90%,6.40%
Mining & Quarrying,9.10%,13.80%,18.50%,8.60%,5.80%,9.40%,8.40%,14.70%,5.60%,4.10%,4.50%,3.60%,3.10%,3.50%,3.20%,1.20%,1.40%,5.00%,3.40%,0.30%,9.50%,10.00%
Health,5.20%,6.10%,6.20%,5.80%,4.80%,5.20%,5.70%,3.40%,3.40%,5.10%,4.50%,4.00%,4.10%,3.40%,5.30%,4.50%,5.40%,6.20%,5.50%,6.20%,5.80%,10.30%
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Quarter,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2
GDP,5.70%,5.60%,6.10%,5.50%,5.00%,6.10%,5.20%,7.20%,5.20%,4.40%,4.40%,5.10%,6.20%,6.00%,6.60%,6.50%,5.50%,5.30%,5.20%,5.50%,4.90%,-5.70%
