Source:,https://www.nbs.go.tz/index.php/en/census-surveys/national-accounts-statistics/na-statistics-by-subject,,
,,,
Time Period,Year,Quarter,GDP Growth (%)
2013 Q1,2013,Q1,4.5%
2013 Q2,2013,Q2,6.8%
2013 Q3,2013,Q3,8.0%
2013 Q4,2013,Q4,7.9%
2014 Q1,2014,Q1,8.5%
2014 Q2,2014,Q2,8.7%
2014 Q3,2014,Q3,4.7%
2014 Q4,2014,Q4,5.1%
2015 Q1,2015,Q1,2.9%
2015 Q2,2015,Q2,6.7%
2015 Q3,2015,Q3,7.6%
2015 Q4,2015,Q4,7.4%
2016 Q1,2016,Q1,9.7%
2016 Q2,2016,Q2,8.2%
2016 Q3,2016,Q3,6.6%
2016 Q4,2016,Q4,3.4%
2017 Q1,2017,Q1,4.9%
2017 Q2,2017,Q2,6.7%
2017 Q3,2017,Q3,5.0%
2017 Q4,2017,Q4,10.2%
2018 Q1,2018,Q1,7.5%
2018 Q2,2018,Q2,6.0%
2018 Q3,2018,Q3,7.2%
2018 Q4,2018,Q4,7.1%
2019 Q1,2019,Q1,6.3%
2019 Q2,2019,Q2,7.5%
2019 Q3,2019,Q3,8.1%
2019 Q4,2019,Q4,6.2%
2020 Q1,2020,Q1,5.7%
,,,
,,,
,,,
,,,
,,,
For this you can compare the Q1 across different Years,,,
You can use the filter tool to filter only the Q1 results,,,
,,,
,,,
,,,
,,,
,,,
Source:,https://www.imf.org/en/Publications/REO/SSA/Issues/2020/06/29/sreo0629,,
,,,
,,,
,Real GDP Growth (Annual),,
2018,7.0%,,
2019,6.3%,,
2020 (Projections),1.9%,,
2021 (Projections),3.6%,,
,,,
,,,
,,,
Source:,https://www2.deloitte.com/content/dam/Deloitte/tz/Documents/finance/Economic_Impact_Covid-19_Pandemic_on_EastAfrican_Economies.pdf,,
,,,
,GDP Growth,,
2019,6.30%,,
2020 Pre-COVID Forecast ,5.30%,,
2020 Adjusted Forecast,2%,,
