Source:,Global Food Security Index (GFSI) (economist.com),
,,
,,
,,
Rank / 113,Country,Affordability Score (2022)
62,Botswana,69.0
70,South Africa,63.4
75.0,Ghana,59.9
82,Senegal,57.9
83,Côte d'Ivoire,54.2
84,Mali,53.4
88,Benin,50.5
89,Cameroon,50.4
90,Chad,50.1
91,Burkina Faso,49.5
92,Rwanda,48.4
93,Uganda,48.3
94,Congo (Dem. Rep.),46.9
96,Tanzania,45.8
97,Togo,45.7
98,Niger,42.8
99,Mozambique,42.6
101,Kenya,41.7
102,Madagascar,39.5
103,Guinea,37.0
104,Sierra Leone,36.6
105,Angola,35.5
106,Sudan,35.2
107,Malawi,33.6
108,Ethiopia,32.9
110,Burundi,32.5
112,Zambia,26.8
113,Nigeria,25.0
