Source:,http://www.fao.org/faostat/en/#data/CP,
,,
,"Consumer Prices, Food Indices (2015 = 100)",Food Inflation (Year on Year )
Jul-18,158.139364,12.8%
Aug-18,160.371967,13.1%
Sep-18,161.990963,13.3%
Oct-18,163.293075,13.2%
Nov-18,164.763765,13.3%
Dec-18,166.101161,13.5%
Jan-19,167.470794,13.5%
Feb-19,168.839059,13.4%
Mar-19,170.317395,13.4%
Apr-19,172.241729,13.6%
May-19,174.654149,13.7%
Jun-19,177.014309,13.5%
Jul-19,179.223476,13.3%
Aug-19,181.401349,13.1%
Sep-19,183.745666,13.4%
Oct-19,186.179498,14.0%
Nov-19,188.495023,14.4%
Dec-19,190.325462,14.6%
Jan-20,192.197736,14.8%
Feb-20,193.862434,14.8%
Mar-20,195.683139,14.9%
Apr-20,197.982088,14.9%
May-20,200.776111,15.0%
Jun-20,203.36737,14.9%
Jul-20,206.076664,15.0%
