Source:,https://data2.unhcr.org/en/search?country=220&country_1=0&text=food%20security&type%5B0%5D=link&type%5B1%5D=news&type%5B2%5D=highlight&type%5B3%5D=document&type%5B4%5D=needs_assessment&type%5B5%5D=dataviz&partner=&working_group=&sector=&date_from=&date_to=&uploader=&country_json=%7B%220%22:%22220%22%7D&sector_json=%7B%220%22:%22%22%7D&apply=&page=2,,,,,
,,,,,,
,,,,,,
Time Period,Households with poor or borderline Food Consumption Score (proportion of households with insufficient food consumption),UNHCR Target for households with poor or borderline Food Consumption Score,Number of refugees receiving monthly food assistance,Percentage of refugees receiving monthly food assistance,Percentage of Cash Transfers,Percentage of In-Kind Distribution
2019 Q3,45%,35%,"1,347,360",88.70%,32%,68%
2019 Q4,54%,35%,"1,267,122",91.70%,35%,65%
2020 Q1,54%,19%,"1,342,388",90.80%,42%,58%
2020 Q2,38%,19%,"1,344,649",94.00%,52%,48%
2020 Q3,25%,19%,"1,349,994",94.00%,52%,48%
2020 Q4,47%,19%,"1,358,221",94.00%,54%,46%
2021 Q1,42%,19%,"1,379,637",93.00%,46%,54%
,,,,,,
NOTES:,,,,,,
The Food Consumption Score (FCS) is the most commonly used food security indicator. It represents households' dietary diversity and nutrient intake. The FCS is calculated by inspecting how often households consume food items from the different food groups during a 7-day reference period.,,,,,,
Households with poor or borderline Food Consumption Score (proportion of households with insufficient food consumption),,,,,,
2020 Q2,This figure was relatively lower because WFP doubled rations in May-June after the 30% cut in Apri-June;,,,,,
2020 Q3,The survey is taken at the peak of harvest season (September) which lasts Aug-Dec,,,,,
2020 Q4,The survey is done at the end of the main harvesting period. (It appears to be a seasonal change even from the year before),,,,,
Seasonality,,,,,,
