Source:,Country - ONE Data & Analysis,
Inflation in Food Prices,,
,,
date,Africa (median),Kenya
2018-01-31,4.71%,4.71%
2018-02-28,4.10%,3.83%
2018-03-31,4.40%,2.19%
2018-04-30,4.90%,0.26%
2018-05-31,3.95%,0.34%
2018-06-30,3.60%,0.90%
2018-07-31,3.40%,0.53%
2018-08-31,2.75%,-1.15%
2018-09-30,2.60%,0.50%
2018-10-31,3.00%,0.52%
2018-11-30,2.96%,1.72%
2018-12-31,2.90%,2.54%
2019-01-31,3.20%,1.62%
2019-02-28,2.42%,1.09%
2019-03-31,2.84%,2.84%
2019-04-30,2.95%,8.17%
2019-05-31,2.40%,6.33%
2019-06-30,3.35%,6.98%
2019-07-31,3.20%,8.47%
2019-08-31,3.90%,7.13%
2019-09-30,4.00%,6.31%
2019-10-31,3.90%,8.74%
2019-11-30,3.55%,9.58%
2019-12-31,3.85%,10.02%
2020-01-31,4.05%,9.60%
2020-02-28,3.70%,0.00%
2020-02-29,0.00%,10.58%
2020-03-31,5.20%,11.85%
2020-04-30,5.45%,11.58%
2020-05-31,4.70%,10.55%
2020-06-30,4.30%,8.15%
2020-07-31,4.25%,6.62%
2020-08-31,5.77%,5.43%
2020-09-30,5.90%,5.18%
2020-10-30,0.00%,5.76%
2020-10-31,6.75%,5.76%
2020-11-30,5.95%,6.09%
2020-12-31,5.30%,7.19%
2021-01-31,5.25%,7.36%
2021-02-28,5.10%,6.93%
2021-03-31,5.55%,6.65%
2021-04-30,6.00%,6.42%
2021-05-31,6.60%,7.02%
2021-06-30,7.20%,8.46%
2021-07-31,8.20%,8.84%
2021-08-31,7.55%,10.67%
2021-09-30,7.60%,10.63%
2021-10-31,7.80%,10.60%
2021-11-30,7.71%,9.92%
2021-12-31,8.65%,9.09%
2022-01-31,9.93%,8.89%
2022-02-28,9.65%,8.69%
2022-03-31,9.86%,9.92%
2022-04-30,11.80%,12.15%
2022-05-31,12.25%,12.40%
2022-06-30,12.95%,13.80%
2022-07-31,13.20%,15.30%
2022-08-31,14.55%,15.30%
2022-09-30,15.30%,15.50%
2022-10-31,14.89%,15.80%
2022-11-30,14.96%,15.40%
2022-12-31,15.10%,13.80%
2023-01-31,0.00%,12.80%
2023-02-28,0.00%,13.30%
Grand Total,381.78%,484.15%
