Source: ,"Kenya Forest Service, 2021"
,https://www.kenyaforestservice.org/wp-content/plugins/wonderplugin-pdf-embed/pdfjslight/web/viewer.html?v=2&file=https://www.kenyaforestservice.org/wp-content/uploads/2022/12/National-Forest-Resources-Assesment-Report-2021-Kenya-protected.pdf
,
This dataset contains information on all 47 counties' forest cover as a percentage of land area in Kenya as of 2021.,
,
County,Forest cover (% of land area)
Nyeri,40.89
Lamu,32.13
Kilifi,26.25
Nyandarua,26.2
Bomet,24.28
Kirinyaga,23.62
Samburu,23.29
Kericho,20.61
Elgeyo Marakwet,20.53
Mombasa,19.59
Tharaka Nithi,18.31
Kiambu,18.22
Nandi,16.69
Murang’a,16.68
Kitui,15.74
Bungoma,15.55
Kisii,15.06
Narok,14.01
Nairobi,13.74
Trans Nzoia,13.16
Meru,12.7
Nyamira,11.88
Embu,11.42
Garissa,11.3
Vihiga,11.09
Nakuru,10.73
Tana River,9.97
Laikipia,9.89
Turkana,9.77
Kajiado,9.03
West Pokot,8.83
Kakamega,6.97
Uasin Gishu,6.73
Kwale,5.52
Makueni,5.38
Isiolo,5.21
Baringo,4.6
Taita Taveta,3.41
Homa Bay,3.18
Machakos,2.59
Kisumu,1.55
Mandera,1.46
Marsabit,1.11
Wajir,0.98
Busia,0.56
Migori,0.31
Siaya,0.23
