Source:,https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic,,,,,,
,"Nigeria, Wholesale, Giwa, Gari (white), Naira/kg Commodity Code: 110620",,,,,,
,,,,,,,
Date,Giwa,Ibadan,Kano,Kaura Namoda,Lagos,Maiduguri,Nigeria
Jul-20,177.5,248,172.27,121.4,138.75,155,169
Jun-20,160.5,247,172.35,115.4,137.25,142.5,163
May-20,148,240,123.56,87.4,131.2,142,145
Apr-20,145,225.5,135.47,81.45,129.25,125,140
Mar-20,126,163.4,102.52,75.16,76.48,99,107
Feb-20,125,120,108.27,73.15,69,92.5,98
Jan-20,128,126,95.72,73.55,67.2,87.5,96
Dec-19,127.5,115,109.2,71.75,63.7,81.25,95
Nov-19,135,110,122.7,74.1,64.4,85,99
Oct-19,120,106.67,119.12,70.8,65.48,80,94
Sep-19,110,105,131.87,67.4,66.75,80,94
Aug-19,90,105,143.42,74.6,66.06,80,93
Jul-19,89,106,109.8,79,66.8,83,89
Jun-19,90,105,115.52,78.4,66.5,80,89
May-19,91.25,107.5,100.57,78.4,66.81,80,87
Apr-19,106,102,115.96,77.56,63.8,80,91
Mar-19,132.5,100,117.27,78.8,66,72.5,95
Feb-19,115,100,120.17,79.7,68.75,70,92
Jan-19,98,104,134.28,87.96,73,70,95
Dec-18,93.75,112.5,138.12,92.13,73.5,72.5,97
Nov-18,107.5,90,132.02,96.4,70.05,77.5,96
Oct-18,107,98,129.96,101.84,78.6,80,99
Sep-18,99.95,105,85.37,100.25,74,80,91
Aug-18,98,110,132.32,102.64,77.48,88,101
Jul-18,102.4,115,147.62,106.55,81.05,100,109
Jun-18,97.25,132.5,155.75,107.05,79.75,100,112
May-18,120,140,156.4,111.48,83.68,99.2,118
Apr-18,,137.5,135,121.1,77,93,113
Mar-18,,117.5,139,113.1,77,100,109
Feb-18,,120,136.5,98.8,77,101.5,107
Jan-18,,130,118.6,105,76.4,100.4,106
Dec-17,,130,112,107,72.5,121,109
Nov-17,,137.5,119.6,106.4,77,134.4,115
Oct-17,,150,192.5,101,95,144,137
Sep-17,273.67,185,213,113.6,103.5,164,175
Aug-17,325,178,215.6,130.68,137.8,164,192
Jul-17,296,210,216.5,176.6,179,180.25,210
Jun-17,285.5,260,218,171.9,179,185.5,217
May-17,279.2,324,212.4,154.2,177.8,172.2,220
Apr-17,275,315,215,139.8,155.5,165.5,211
Mar-17,275,282,200.4,139.8,128.6,159.2,198
Feb-17,275,230,183.5,139.8,102,140,178
Jan-17,185.6,192.5,185,118.6,92.75,140,152
Dec-16,190.9,167.5,130,110.35,70,124,132
Nov-16,194.8,164,129.6,106.64,70,122,131
Oct-16,194.5,172.5,123.5,95.8,70,121.25,130
Sep-16,183.75,170,132.5,107.3,70,122.5,131
Aug-16,158.94,170,139.2,102.08,70,122.24,127
Jul-16,128,177.5,118.5,76.1,70,103.75,112
Jun-16,121,182,108.4,74.2,70,106,110
May-16,93,180,116.5,74.2,70,95,105
Apr-16,102,142.5,111.12,63.95,70,75.2,94
Mar-16,100.2,120,85,58.4,70,67.8,84
Feb-16,93.25,87,81.5,58.4,70,63.3,76
Jan-16,88.75,90,87.5,53,67,63.55,75
Dec-15,87.4,84,80,47.2,58,65,70
Nov-15,87.5,82.5,80,46.2,58,62.5,69
Oct-15,85,85,80,46.2,58,62.5,69
Sep-15,85,85,80,52.6,58,61.58,70
Aug-15,85,85,80,63.15,58,60.8,72
Jul-15,88.01,92,78,66,58,62,74
Jun-15,90,95,80,56,59.5,63,74
May-15,90,87.5,72.5,56,52.5,60,70
Apr-15,90,72.5,70,57.8,50,60,67
Mar-15,90,63,64,58.4,50,70,66
Feb-15,92.5,60.5,64,56,61.25,67.5,67
Jan-15,94.45,66,60,64.15,65,73.75,71
Dec-14,100.01,65.6,63,65.76,68.4,77,73
Nov-14,99.75,67,56.5,65.2,70,77.5,73
Oct-14,100,73,64.25,58.2,70,80,74
Sep-14,84.8,76.6,72.2,59.28,70,80,74
Aug-14,78.5,84.5,75.75,76.5,70,87.5,79
Jul-14,70,95,76,78,70,90,80
