Source:,Country - ONE Data & Analysis,
,,
General Inflation,,
,,
date,Africa (median),Kenya
2018-01-31,4.2%,4.8%
2018-02-28,4.0%,4.5%
2018-03-31,3.9%,4.2%
2018-04-30,3.7%,3.7%
2018-05-31,3.8%,4.0%
2018-06-30,4.0%,4.3%
2018-07-31,4.5%,4.4%
2018-08-31,4.6%,4.0%
2018-09-30,4.9%,5.7%
2018-10-31,5.1%,5.5%
2018-11-30,4.3%,5.6%
2018-12-31,4.2%,5.7%
2019-01-31,3.8%,4.7%
2019-02-28,3.7%,4.1%
2019-03-31,3.4%,4.4%
2019-04-30,3.3%,6.6%
2019-05-31,2.9%,5.5%
2019-06-30,3.5%,5.7%
2019-07-31,3.6%,6.3%
2019-08-30,0.0%,0.0%
2019-08-31,3.5%,5.0%
2019-09-30,3.4%,3.8%
2019-10-31,3.6%,5.0%
2019-11-30,3.6%,5.6%
2019-12-31,3.3%,5.8%
2020-01-31,3.5%,5.8%
2020-02-28,0.0%,0.0%
2020-02-29,4.7%,7.2%
2020-03-31,4.0%,5.8%
2020-04-30,4.2%,6.0%
2020-05-31,3.6%,5.3%
2020-06-30,3.8%,4.6%
2020-07-31,4.0%,4.4%
2020-08-31,4.0%,4.4%
2020-09-30,4.0%,4.2%
2020-10-31,4.4%,4.8%
2020-11-30,4.4%,5.3%
2020-12-31,3.8%,5.6%
2021-01-31,4.2%,5.7%
2021-02-28,4.7%,5.8%
2021-03-31,4.5%,5.9%
2021-04-30,4.7%,5.8%
2021-05-31,5.2%,5.9%
2021-06-30,5.5%,6.3%
2021-07-31,5.5%,6.6%
2021-08-31,5.7%,6.6%
2021-09-30,5.4%,6.9%
2021-10-31,5.4%,6.5%
2021-11-30,5.6%,5.8%
2021-12-31,5.9%,5.7%
2022-01-31,6.6%,5.4%
2022-02-28,6.7%,5.1%
2022-03-31,6.8%,5.6%
2022-04-30,7.5%,6.5%
2022-05-31,7.8%,7.1%
2022-06-30,8.8%,7.9%
2022-07-31,9.2%,8.3%
2022-08-31,9.4%,8.5%
2022-09-30,9.2%,9.2%
2022-10-31,9.6%,9.6%
2022-11-30,9.8%,9.5%
2022-12-31,9.6%,9.1%
2023-01-31,9.7%,9.0%
2023-02-28,9.5%,9.2%
2023-03-31,9.5%,9.2%
