Source:,"FAO, 2024",
Link:,https://openknowledge.fao.org/items/8ab20ccf-1e9d-4ae6-836c-ca770d16da01,
,,
"This dataset contains information on the Global Fisheries and Aquaculture Workforce by gender, 2024.",,
,,
,Women (%),Men (%)
Fisheries and aquaculture primary production workforce,24%,76%
Employed full-time in the fisheries sector (2022),53%,47%
Employed full-time in the fisheries sector (1995),32%,68%
Fishers and fish farmers in primary production,24%,76%
Workforce in the post-harvest fisheries sector,62%,38%
Worforce in the aquatic value chain,40%,60%
Workforce in subsistence fishing,45%,55%
