Source:,"Uganda Bureau of Statistics (UBOS), 2023",,,,,,,,,
Link:,https://www.ubos.org/wp-content/uploads/2025/03/ICBT-REPORT-2024-RELEASE.pdf,,,,,,,,,
,,,,,,,,,,
This dataset contains information on the Informal Exports by East Africa Border Station 2019-2023.,,,,,,,,,,
,,,,,,,,,,
Customs Station,2019,2020,2021,2022,2023,2019 Share (%),2020 Share (%),2021 Share (%),2022 Share (%),2023 Share (%)
Mpondwe,189.9,41.7,107.6,106.1,131.2,35.7,30.2,21.3,19.3,23.1
Elegu,59.8,21.4,75.9,110.4,99.9,11.2,15.5,15,20.1,17.6
Busia,84.1,19.3,83.6,106.7,82.2,15.8,14,16.5,19.4,14.5
Vvura,7.3,3.1,14.3,24.6,57.4,1.4,2.3,2.8,4.5,10.1
Mutukula,30.6,14.2,24,36.7,39.4,5.7,10.3,4.8,6.7,7
Odramachaku,20.4,5.6,30.3,30.2,38,3.8,4.1,6,5.5,6.7
Katuna,12.4,2.5,4.9,5.2,32.5,2.3,1.8,1,1,5.7
Paidha,53.9,9.3,27.4,18.6,20.4,10.1,6.8,5.4,3.4,3.6
Ntoroko,8.7,3.1,18.3,40.1,18.6,1.6,2.2,3.6,7.3,3.3
Malaba,10.2,2.9,10.9,15.4,12.3,1.9,2.1,2.1,2.8,2.2
Goli,1.1,0.3,4,8.1,9.5,0.2,0.2,0.8,1.5,1.7
Cyanika,7.8,0.4,4.8,2.4,8.2,1.5,0.3,0.9,0.4,1.4
Suam River,2.1,1.5,2.1,6,4.9,0.4,1.1,0.4,1.1,0.9
Ishasha River,2.4,0.7,12.1,3.9,3,0.5,0.5,2.4,0.7,0.5
Lwakhakha,1.1,0.2,1.7,5.9,2.9,0.2,0.2,0.3,1.1,0.5
Mirama Hills,0.4,0,0.1,2.1,2.3,0.1,0,0,0.4,0.4
Oraba,1.9,0.6,3,0.8,2.1,0.4,0.4,0.6,0.2,0.4
Kikagati,1.1,0.2,1.2,1.5,1.3,0.2,0.2,0.2,0.3,0.2
Bugango,0.4,0.1,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1
Bunagana,36.3,10.6,78.6,24.5,0,6.8,7.7,15.6,4.5,0
Grand Total,531.9,137.8,505,549.8,566.6,100,100,100,100,100
