Source:,"Uganda Bureau of Statistics (UBOS), 2023",,,,,,,,,
Link:,https://www.ubos.org/wp-content/uploads/2025/03/ICBT-REPORT-2024-RELEASE.pdf,,,,,,,,,
,,,,,,,,,,
This dataset contains information on the Informal imports by East Africa Border Station 2019-2023.,,,,,,,,,,
,,,,,,,,,,
Customs Station,2019,2020,2021,2022,2023,2019 Share (%),2020 Share (%),2021 Share (%),2022 Share (%),2023 Share (%)
Busia,15.8,4.5,20.1,23.5,49.3,27.3,26.4,29,29.7,39.7
Malaba,4.7,0.9,5.3,8,13.2,8.1,5.2,7.7,10.1,10.6
Mpondwe,8.9,1.3,2.9,6.2,10.7,15.4,7.4,4.2,7.9,8.7
Suam River,1.4,1.4,6.9,4.6,10.2,2.4,8.1,10,5.8,8.3
Mutukula,2.1,0.2,1.9,1.7,7.7,3.6,1.4,2.7,2.1,6.2
Odramachaku,2.5,1.1,3.5,3.4,6.8,4.4,6.5,5.1,4.3,5.4
Paidha,7.6,1.9,7.9,12.7,6.1,13.2,11.2,11.4,16.1,4.9
Lwakhakha,1.5,0.4,3.3,8.8,6,2.6,2.3,4.8,11.1,4.9
Elegu,3.7,0.6,2,2.4,5.6,6.4,3.8,2.8,3,4.5
Kikagati,2.7,2.6,3,1.3,2.7,4.8,15.1,4.3,1.7,2.2
Goli,0.7,0.2,4.5,3.4,2.4,1.3,1.1,6.5,4.3,1.9
Cyanika,0.9,0.2,0.3,1.1,1,1.5,1,0.5,1.3,0.8
Bugango,0.4,0.2,0.8,0.2,0.6,0.7,1.4,1.2,0.3,0.5
Vvura,1.2,0.3,1.3,0.3,0.5,2.2,1.6,1.8,0.4,0.4
Katuna,0.8,0,0.3,0.2,0.5,1.4,0.1,0.4,0.2,0.4
Oraba,0.3,0.2,0.3,0.1,0.4,0.4,0.9,0.4,0.1,0.3
Mirama Hills,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1
Ishasha River,0.4,0.1,0.5,0.1,0.1,0.6,0.4,0.8,0.1,0.1
Ntoroko,0,0,0,0,0,0.1,0,0,0,0
Bunagana,2,1.1,4.4,1.2,0,3.5,6.2,6.4,1.5,0
Grand Total,57.8,17.2,69.2,79.3,124,100,100,100,100,100
