Source:,"Communications Authority of Kenya, 2025",
Link:,https://www.ca.go.ke/sites/default/files/2025-08/ICT%20Analytical%20Report%20Based%20on%202023-2024%20Kenya%20Housing%20Survey_0.pdf?utm_source=chatgpt.com,
,,
This dataset contains information on the proportion of households with at least one member who used the internet by residence and gender in Kenya 2024.,,
,,
,Female Internet usage (%),Male Internet usage (%)
Kenya,32.2,37.8
Rural,21.7,28.3
Urban,54.8,58.4
Kakamega,31.3,38.6
