"Source: Google Trends, 2024",,,,,
,,,,,
,,,,,
"Kenyans' Interest in Vitamins, Vitamin C, Zinc, Iron and Vitamin D over the past 5 years",,,,,
,,,,,
Date,Vitamin C,Zinc,Vitamin D,Vitamin,Iron
13-01-19,7,6,3,24,32
20-01-19,4,5,4,24,27
27-01-19,5,8,3,31,22
03-02-19,6,9,3,30,27
10-02-19,5,4,4,27,29
17-02-19,5,10,3,26,26
24-02-19,3,6,5,27,24
03-03-19,6,5,2,28,31
10-03-19,7,6,1,29,27
17-03-19,4,10,6,31,31
24-03-19,8,6,5,31,34
31-03-19,7,6,4,27,32
07-04-19,7,6,3,25,28
14-04-19,3,9,3,22,27
21-04-19,5,9,5,26,35
28-04-19,5,6,2,20,36
05-05-19,5,7,4,28,37
12-05-19,5,7,4,26,35
19-05-19,7,10,1,30,38
26-05-19,6,7,5,33,40
02-06-19,6,8,8,31,39
09-06-19,7,7,8,33,39
16-06-19,5,11,5,28,45
23-06-19,5,5,7,32,41
30-06-19,9,7,9,35,39
07-07-19,6,8,10,35,38
14-07-19,9,6,7,36,44
21-07-19,10,6,8,41,46
28-07-19,7,8,3,57,43
04-08-19,6,10,5,40,45
11-08-19,7,5,6,38,46
18-08-19,6,7,7,31,40
25-08-19,9,7,4,37,46
01-09-19,5,8,6,30,40
08-09-19,6,8,6,36,38
15-09-19,7,9,6,33,38
22-09-19,9,8,5,38,41
29-09-19,9,7,5,37,39
06-10-19,5,8,5,30,40
13-10-19,10,12,5,37,44
20-10-19,6,9,8,39,37
27-10-19,5,7,<1,38,39
03-11-19,6,10,6,52,38
10-11-19,8,10,6,38,44
17-11-19,9,10,8,41,43
24-11-19,6,6,3,32,33
01-12-19,7,10,7,30,39
08-12-19,6,7,4,28,38
15-12-19,6,9,2,32,30
22-12-19,8,8,4,27,30
29-12-19,5,7,0,29,33
05-01-20,7,8,4,31,40
12-01-20,5,8,5,34,40
19-01-20,11,8,7,40,43
26-01-20,7,7,3,31,34
02-02-20,9,6,6,36,36
09-02-20,11,7,6,43,41
16-02-20,5,8,5,32,34
23-02-20,11,9,4,36,35
01-03-20,16,10,6,45,35
08-03-20,39,10,7,65,39
15-03-20,74,13,7,100,40
22-03-20,62,14,8,94,37
29-03-20,41,14,6,70,44
05-04-20,30,13,7,61,47
12-04-20,23,7,7,60,46
19-04-20,22,13,7,59,43
26-04-20,16,15,8,50,48
03-05-20,19,14,10,55,54
10-05-20,16,17,13,58,48
17-05-20,18,17,11,60,56
24-05-20,20,12,10,61,41
31-05-20,19,10,7,52,50
07-06-20,16,11,9,51,50
14-06-20,11,10,8,41,39
21-06-20,13,13,6,47,43
28-06-20,14,11,7,42,44
05-07-20,13,11,7,45,42
12-07-20,22,12,8,52,46
19-07-20,28,18,10,66,43
26-07-20,27,47,10,65,42
02-08-20,20,22,8,52,43
09-08-20,21,16,7,49,43
16-08-20,14,14,5,41,52
23-08-20,13,10,5,38,42
30-08-20,13,11,7,47,44
06-09-20,9,7,5,38,45
13-09-20,13,12,7,43,43
20-09-20,12,9,5,39,39
27-09-20,11,10,6,36,41
04-10-20,12,9,6,37,42
11-10-20,10,11,7,36,45
18-10-20,14,10,6,44,46
25-10-20,19,14,7,48,36
01-11-20,18,20,8,49,28
08-11-20,23,20,10,59,43
15-11-20,29,24,6,62,41
22-11-20,22,19,7,51,41
29-11-20,18,14,9,45,42
06-12-20,20,14,4,50,46
13-12-20,14,13,7,44,36
20-12-20,13,8,7,39,32
27-12-20,14,11,5,38,33
03-01-21,14,12,5,37,36
10-01-21,17,12,5,38,41
17-01-21,14,12,7,37,43
24-01-21,12,14,13,45,39
31-01-21,14,12,13,47,41
07-02-21,14,12,13,43,45
14-02-21,14,14,14,48,36
21-02-21,18,14,12,50,37
28-02-21,16,13,11,47,40
07-03-21,19,14,13,47,36
14-03-21,20,20,14,50,43
21-03-21,33,34,17,65,42
28-03-21,33,33,18,61,38
04-04-21,25,20,16,60,40
11-04-21,20,17,15,47,39
18-04-21,16,15,13,41,42
25-04-21,18,18,12,45,42
02-05-21,14,14,12,38,37
09-05-21,14,8,11,38,50
16-05-21,14,14,16,46,56
23-05-21,16,17,12,43,48
30-05-21,14,14,12,43,44
06-06-21,13,16,16,53,43
13-06-21,13,16,13,46,42
20-06-21,20,18,13,44,37
27-06-21,16,11,10,45,41
04-07-21,16,12,11,43,43
11-07-21,14,14,13,49,46
18-07-21,19,18,16,52,47
25-07-21,17,16,13,46,52
01-08-21,26,19,14,59,48
08-08-21,27,19,10,51,39
15-08-21,22,16,13,51,43
22-08-21,19,15,12,42,32
29-08-21,18,17,11,49,36
05-09-21,16,14,10,48,43
12-09-21,18,13,13,48,38
19-09-21,13,12,12,40,41
26-09-21,17,10,13,41,36
03-10-21,15,9,12,37,41
10-10-21,17,9,14,44,37
17-10-21,16,10,13,47,37
24-10-21,13,7,13,43,36
31-10-21,15,12,14,49,39
07-11-21,20,10,14,56,42
14-11-21,16,12,9,47,34
21-11-21,14,11,13,50,41
28-11-21,13,9,10,42,34
05-12-21,13,11,14,43,36
12-12-21,21,13,14,52,40
19-12-21,24,15,13,44,33
26-12-21,18,17,11,44,31
02-01-22,19,15,12,56,43
09-01-22,20,14,13,52,46
16-01-22,19,15,12,53,43
23-01-22,20,18,11,58,49
30-01-22,20,15,12,54,45
06-02-22,21,14,15,61,48
13-02-22,20,15,14,60,52
20-02-22,18,16,12,57,54
27-02-22,18,16,11,53,51
06-03-22,15,16,13,54,51
13-03-22,21,18,13,53,58
20-03-22,21,14,11,52,54
27-03-22,17,16,13,54,54
03-04-22,19,11,12,54,52
10-04-22,17,13,11,45,41
17-04-22,18,15,11,49,50
24-04-22,18,15,11,45,44
01-05-22,17,11,12,51,43
08-05-22,15,12,13,59,45
15-05-22,18,13,16,55,50
22-05-22,17,13,14,53,59
29-05-22,20,15,13,62,59
05-06-22,20,14,20,68,58
12-06-22,20,14,13,57,58
19-06-22,20,14,16,60,60
26-06-22,22,15,14,62,47
03-07-22,24,14,16,59,51
10-07-22,20,15,14,58,60
17-07-22,20,14,15,65,53
24-07-22,21,15,16,64,57
31-07-22,17,13,14,46,45
07-08-22,14,9,10,37,36
14-08-22,17,11,16,48,45
21-08-22,19,12,15,52,44
28-08-22,21,11,15,57,44
04-09-22,17,11,12,53,43
11-09-22,19,15,13,51,40
18-09-22,20,15,14,59,53
25-09-22,18,15,13,55,49
02-10-22,18,13,12,60,50
09-10-22,19,14,14,59,53
16-10-22,18,12,11,52,46
23-10-22,19,15,14,66,54
30-10-22,17,12,15,59,49
06-11-22,21,13,13,66,51
13-11-22,20,16,15,61,54
20-11-22,18,13,14,57,40
27-11-22,16,17,12,47,47
04-12-22,20,11,14,54,46
11-12-22,15,16,18,51,45
18-12-22,19,13,10,48,45
25-12-22,18,11,13,47,39
01-01-23,16,13,13,54,41
08-01-23,16,14,12,47,44
15-01-23,18,13,12,48,45
22-01-23,18,13,10,50,38
29-01-23,20,14,17,55,39
05-02-23,17,13,13,55,46
12-02-23,20,12,14,54,48
19-02-23,20,14,16,60,51
26-02-23,21,12,15,51,43
05-03-23,16,15,14,56,54
12-03-23,20,13,15,51,47
19-03-23,20,15,13,56,55
26-03-23,20,13,15,60,53
02-04-23,19,12,13,55,44
09-04-23,20,14,11,58,48
16-04-23,18,14,14,54,46
23-04-23,16,18,10,48,47
30-04-23,20,19,11,55,50
07-05-23,21,16,15,63,53
14-05-23,17,12,16,55,54
21-05-23,21,17,16,65,56
28-05-23,25,14,14,62,49
04-06-23,22,15,15,66,59
11-06-23,22,13,17,72,54
18-06-23,24,12,16,67,49
25-06-23,24,13,14,60,60
02-07-23,23,18,15,64,53
09-07-23,15,13,14,57,55
16-07-23,17,16,14,62,48
23-07-23,24,14,17,69,53
30-07-23,20,13,13,57,46
06-08-23,19,12,12,52,43
13-08-23,20,13,11,49,40
20-08-23,24,18,12,57,49
27-08-23,22,13,14,55,44
03-09-23,18,13,17,60,46
10-09-23,18,11,12,51,45
17-09-23,19,11,12,56,48
24-09-23,17,13,12,52,47
01-10-23,20,14,14,57,49
08-10-23,22,14,16,57,64
15-10-23,18,13,11,51,54
22-10-23,19,12,12,50,49
29-10-23,16,12,11,50,42
05-11-23,19,13,11,49,48
12-11-23,20,12,13,52,50
19-11-23,16,17,10,45,50
26-11-23,18,17,13,53,44
03-12-23,24,15,14,56,40
10-12-23,18,11,12,50,44
17-12-23,16,13,13,42,36
24-12-23,16,11,12,47,42
31-12-23,18,13,11,49,46
07-01-24,17,11,13,47,43
14-01-24,14,9,11,45,39
