Source:,"National Land Commission, 2023"
Link:,https://landcommission.go.ke/download/annual-report-2022-23-2/?wpdmdl=20105&refresh=66b5c27325c671723187827
,
"This dataset contains information on the number of court cases, judicial processes, and land dispute resolutions in Kenya 2022/2023.",
,
,Number
Total Cases in Court,"3,385"
Counties Covered,41
Total Hearings (Court),"2,817"
Total Mentions,"3,108"
Total Rulings,"1,106"
Total Judgments,689
Disputes Received and Admitted (ADR/TDR/AJS),"1,596"
Disputes Successfully Resolved,115
Ongoing Hearings (ADR/TDR/AJS),"1,481"
