Source:,https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic,,,,,
,"Wholesale, Maize, Kenyan Shilling/kg",,,,,
,,,,,,
Date,Nakuru,Nairobi,Mombasa,Kisumu,Eldoret,Kenya
Sep-20,27.8,30.58,,,28.35,29
Aug-20,32.24,32.91,,,31.25,32
Jul-20,32.81,31.96,,,31.9,32
Jun-20,37.04,,,,34.89,36
May-20,37.33,,,,,37
Apr-20,37.55,34.66,,,,36
Mar-20,31.33,31.39,31.39,48.81,31.43,35
Feb-20,31.02,36.64,34.95,48.02,34.33,37
Jan-20,31.02,36.85,37.1,,34.52,35
Dec-19,29.74,38.34,,,26.88,32
Nov-19,31.07,39.91,,,34.74,35
Oct-19,30.5,41.26,40.95,39.95,31.3,37
Sep-19,33.51,36.45,41,40.44,33.98,37
Aug-19,41.75,37.71,40.45,,36.51,39
Jul-19,36.34,45.29,41.46,48.99,34.05,41
Jun-19,35.63,39.48,39.28,43.88,39.27,40
May-19,35.15,34.74,40.61,45.05,33.23,38
Apr-19,29.1,31.3,34.84,33.84,25.51,31
Mar-19,19.84,26.13,25.82,28.22,19.8,24
Feb-19,18.25,27.08,25.37,28.24,19.05,24
Jan-19,17.72,27.11,26.02,31.23,20.74,25
Dec-18,17.65,24.46,25.97,30.72,18.97,24
Nov-18,17.42,23.43,23.29,30.94,15.5,22
Oct-18,15.1,22.17,20.23,29.87,15.13,21
Sep-18,15.99,26.2,23.05,29.25,15.28,22
Aug-18,16.99,28,23.44,25.67,16.84,22
Jul-18,23,30.19,28.54,29.87,21.22,27
Jun-18,23.01,32.52,29.82,30.88,22.32,28
May-18,23.56,32.64,28.25,33.46,29,29
Apr-18,24.29,,28.37,37.32,29.1,30
Mar-18,26.77,32.97,29.08,36.48,29.5,31
Feb-18,26.96,36.86,31.73,35.01,29.08,32
Jan-18,26.17,42.27,32.19,34.53,28.08,33
Dec-17,24.75,40.73,30.39,35.02,27.75,32
Nov-17,27.19,39.94,32.69,35.63,29.99,33
Oct-17,29.27,37.74,32.39,38.13,31.19,34
Sep-17,29.74,42.4,33.8,39.71,36.28,36
Aug-17,31.4,45.58,38.85,41.14,37.71,39
Jul-17,34.06,54.05,47.95,48.83,38.15,45
Jun-17,44.8,56,51.84,60.02,48.39,52
May-17,47.28,49.2,55.69,59.39,46.08,52
Apr-17,47.58,45,50.34,53.95,46.42,49
Mar-17,46.55,44.99,50.02,49.95,38.61,46
Feb-17,35.81,40.53,40.92,41.83,38.55,40
Jan-17,35.93,31.86,37.67,39.71,31.77,35
Dec-16,29.81,31.8,33.02,34.78,29.54,32
Nov-16,27.73,32,33.28,35.01,29.13,31
Oct-16,27.69,32.59,32.99,34.99,27.99,31
Sep-16,29.41,30.01,30.87,35.01,27.35,31
Aug-16,29.98,29.96,33.95,34.95,27.24,31
Jul-16,28.77,31.96,31.94,34.98,31.92,32
Jun-16,27.08,32.18,29.85,35,29.22,31
May-16,26.53,30.81,28.86,32.3,27.93,29
Apr-16,25.67,31.05,29.19,30.2,27.34,29
Mar-16,25.43,30.43,27.09,30.1,25.93,28
Feb-16,25.28,31.09,29.32,30.33,27.97,29
Jan-16,25.19,31.23,30.23,29.22,26.53,28
Dec-15,24.36,31.77,29.63,31.12,23.53,28
Nov-15,24.54,32.47,,30.68,23.61,28
Oct-15,24.62,33.18,,28.77,24.77,28
Sep-15,24.01,35.69,,28.23,27.18,29
Aug-15,27.78,38.2,,30.04,35.98,33
Jul-15,29.85,36.92,,30.68,33.14,33
Jun-15,28.56,35.56,,35.09,33.17,33
May-15,31.69,35.4,,35.47,28.25,33
Apr-15,28.29,32.77,,36.11,25.37,31
Mar-15,21.54,25.57,,30.22,24.82,26
Feb-15,21.08,25.48,,30.24,24.87,25
Jan-15,23.13,27.57,28.11,30.13,23.6,27
Dec-14,24.12,26.39,25.79,30.76,22.21,26
Nov-14,,25.57,25.33,35.45,23.96,28
Oct-14,24.94,26.12,27.08,38.11,24.75,28
Sep-14,26.08,29.29,30.23,40.09,26.72,30
Aug-14,,25.94,35.75,40.04,30.25,33
Jul-14,32.07,28.39,39.5,40.01,36.39,35
Jun-14,34.72,35,42.95,37.89,36.4,37
May-14,34.73,35.87,39.97,35.09,35.73,36
Apr-14,31.72,33.04,39.3,35.1,33.75,35
Mar-14,29.58,33,35,35,31.53,33
Feb-14,28.86,33.05,35.06,35.06,29.72,32
Jan-14,29.16,32.7,38.44,35.07,29.85,33
Dec-13,28.85,34.05,,35.06,29.21,32
Nov-13,28.38,34.18,,35.18,30.04,32
Oct-13,32.02,33.71,,34.98,31.52,33
Sep-13,32.13,32.43,,33.11,30.53,32
Aug-13,28.34,29.31,,31.03,28.25,29
Jul-13,28.57,31.23,,31.14,27.82,30
Jun-13,,32.01,35.2,31.86,29.27,32
May-13,29.6,31.42,35.11,32.69,31.69,32
Apr-13,29.4,31,34.16,34.52,29.85,32
Mar-13,28.57,31.55,32.44,33.47,29.54,31
Feb-13,28.64,30.97,35.24,30.97,28.15,31
Jan-13,29.57,30.28,,32.24,27.09,30
Dec-12,27.08,33.95,,32.22,27.19,30
Nov-12,28.54,37.86,,32.19,28.61,32
Oct-12,31.42,37.83,,31.69,29.1,33
