Source:,https://www.knbs.or.ke/download/leading-economic-indicators-february-2023/,
,,
,,
Price of maize & beans as of Feb-2023 (by market),,
,,
Market,Maize,Beans
Ahero,69.6,129.2
Bomet,57.7,128.6
Bondo,72.5,195.2
Bumala,67,179.5
Bungoma Town,67.7,159.2
Burma,58.5,169.5
Burn  Forest,60.8,151.1
Busia Town,69.3,184.1
Butere,58.3,169.3
Chepsonoi,,
Chuka Town,82,138.8
Daraja  Mbili,68.5,168.9
Eldoret,,
Embu Town,74,137.9
Engineer,85,152.1
Gakoromere,77.8,166.7
Garissa Town,75,120
Gatundu,80,151.7
Gikomba,66.1,65.8
Githurai,70,150
Hola,70,150
Iciara,76.4,136.2
Isiolo Town,80,137.5
Iten,70,150
Kabarnet,66.7,162.5
Kabati,60,160
Kajiado,80,161.7
Kakamega,58.3,169.4
Kalundu,65,153.3
Kangemi,71,170
Kapsabet,62.5,138.5
Karatina,81.4,159.5
Kawangware,68.1,71.7
Kayole,80,167.5
Kegonga,54,123.9
Kehacha,52,122
Kericho,80,162.5
Kerugoya,78.5,130.2
Kiambu,90,200
Kianjai,72.2,144.4
Kibauni  Kilifi,72.5,126.3
Kiboswa,64.7,101.6
Kibuye,69.6,129.2
Kimulot,53.1,130.9
Kipkaren,61.3,130
Kiriaini,82.6,104.3
Kiritiri,76.9,147
Kitale,65.1,138.9
Kongowea,76.7,160
Korokocho,80,150
Kutus,74.7,134.1
Kwale,78.3,176.7
Limuru,72.5,163.3
Lodwar,90.6,114.6
Machakos Town,84,181.1
Mackinon,90,200
Majengo,140,145
Makutano,63,120
Makuyu,82.6,123.2
Mandera Town,135,120
Marsabit Town,70,150
Maua,79.2,166.7
Mbale,59.4,225
Migori,54,134
Mkunguni,100,220
Mpeketoni,,
Mulot,59.6,146.2
Mumias,63.9,184
Muthithi,83,108
Muthurwa,,
Muthurwa  Narok,76.8,65.2
Mwembe  Tayari,96.7,160
Nakuru Town,46.3,87.5
Namba  Kadero,,
Nanyuki,80,145.5
Nyabite,67.4,155.7
Nyahururu,75,143.4
Nyeri,80.8,191.2
Ol  Kalou,81.7,150
Riochanda,,
Runyenjes,76.4,140.3
Siakago,78.8,152.5
Siaya,66.9,136.4
Soko  Mjinga,58.3,147.1
Sondu,74.1,131.4
Sotik,59.6,134.5
Tala,,
Thika,80,150.8
Toi,81.6,178.4
Turbo,64,130
Unguja,64.3,163.9
Voi,73.8,172.5
Wajir Town,,
Wote,70,160
National Average,73.79318182,147.5806818
