"Source: Kenya Demographic and Health Survey, 2022",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 28.2 Agricultural land ownership and documentation of ownership: Men,,,,,,,,,,,,
"Percent distribution of men age 15–49 by ownership of agricultural land, and among men who own agricultural land, percent distribution by whether the agricultural land owned has a title deed and whether or not the man’s name appears on the title deed, according to background characteristics, Kenya DHS 2022",,,,,,,,,,,,
,Percentage who own land:,,,,,,Land has a title deed:1,,,,,
Background characteristic,Alone,Jointly2,Both alone and jointly,Percentage who do not own land,Total,Number of men,Man’s name is on title/ deed1,Man’s name is not on title/ deed1,Does not have a title/ deed1,Don’t know3,Total,Number of men who own land4
Age,,,,,,,,,,,,
15-19,2.2,1.6,0.2,95.9,100,3175,8.4,18.1,58,15.5,100,129
20-24,8.6,3.9,0.1,87.4,100,2404,7.9,25.6,63.1,3.4,100,302
25-29,21.8,6.7,0.4,71.2,100,2268,15.8,24,59.4,0.8,100,654
30-34,36.9,7,0,56,100,1787,21.9,17.8,59.9,0.4,100,786
35-39,43.6,11.1,0.2,45.2,100,1577,21.4,17.4,60.9,0.3,100,865
40-44,46.4,12.7,0.2,40.7,100,1332,25.5,18.7,55.4,0.3,100,790
45-49,51.9,14.1,0.6,33.4,100,1109,30.8,12.7,56,0.5,100,739
,,,,,,,,,,,,
Residence,,,,,,,,,,,,
Urban,16.7,5.2,0.1,78,100,5382,34.5,20.6,44.2,0.8,100,1186
Rural,29.2,7.8,0.3,62.8,100,8270,16.8,17.7,64.3,1.2,100,3079
,,,,,,,,,,,,
Education5,,,,,,,,,,,,
No education,18.6,15.1,0.3,66,100,369,17.4,11.9,68.8,1.9,100,125
Primary,30.6,8.9,0.3,60.3,100,4894,15.7,18.4,64.8,1.1,100,1945
Secondary,17.1,4.6,0.3,78,100,5386,20.5,19.8,58,1.7,100,1184
More than secondary,27.1,5.9,0.1,66.9,100,2797,36.5,18.5,44.8,0.2,100,925
,,,,,,,,,,,,
Wealth quintile,,,,,,,,,,,,
Lowest,26.1,9.7,0.3,63.9,100,2062,8.1,16,74.3,1.5,100,744
Second,29.2,6.6,0.4,63.8,100,2584,12.9,15.8,70.8,0.6,100,935
Middle,26.8,7.6,0.2,65.4,100,2754,16.9,22.1,59.4,1.6,100,954
Fourth,20,6.1,0.2,73.7,100,3325,31,20,47.5,1.5,100,874
Highest,21,4.8,0.1,74.1,100,2927,41.1,18.1,40.4,0.4,100,758
,,,,,,,,,,,,
Total 15-49,24.3,6.8,0.2,68.8,100,13652,21.7,18.5,58.7,1.1,100,4265
,,,,,,,,,,,,
50-54,58.6,14.7,0,26.7,100,801,34.9,13.2,51.9,0,100,587
,,,,,,,,,,,,
Total 15-54,26.2,7.2,0.2,66.4,100,14453,23.3,17.9,57.9,1,100,4852
"1 Title deed or other government-recognized document
 2 Jointly with wife, someone else, or both wife and someone else
 3 Includes men who have land with a title deed or other government-recognized document, but they do not know if their name is on it, and men who do not know if there is a title deed or other government-recognized document for the land
 4 Includes men who own land alone, jointly with their wife only, jointly with someone else only, jointly with their wife and someone else, or both alone 
 and jointly
 5 No education includes informal education (Madrassa/Duksi/adult education), and more than secondary includes middle-level colleges and universities. Excludes people who reported vocational training as the highest education level attended.",,,,,,,,,,,,
