"Source: Kenya Demographic and Health Survey, 2022",,,,,,,
,,,,,,,
,,,,,,,
Table 26.2 House and land ownership: Men,,,,,,,
"Percent distribution of men age 15–49 by house and land ownership, according to current marital status, Kenya DHS 2022",,,,,,,
,Marital Status,,,,,,
Ownership status,Never married,Married/living together,Widowed,Divorced/ separated,Total 15–49,50–54,Total 15–54
HOUSE OWNERSHIP,,,,,,,
Owns,18.3,70.1,76.5,60.1,44.6,88.7,47
Alone,16.1,51,76.5,58.3,34.7,63.1,36.3
Jointly with spouse/partner only,na,18.4,0,0.4,8.5,24.7,9.4
Jointly with someone else only,0,0.3,0,1.3,0.2,0.5,0.2
Jointly with spouse/partner and,,,,,,,
someone else,na,0.3,0,0,0.6,0.4,0.6
Both alone and jointly,1.3,0.1,0,0.1,0.7,0,0.6
,,,,,,,
Does not own,81.7,29.9,23.5,39.9,55.4,11.3,53
,,,,,,,
Total,100,100,100,100,100,100,100
Number,"6,576","6,257",49,771,"13,652",801,"14,453"
AGRICULTURAL LAND OWNERSHIP,,,,,,,
Owns,8.7,53.3,60.5,42.2,31.2,73.3,33.6
Alone,6.3,41.5,57.5,35.8,24.3,58.6,26.2
Jointly with spouse/partner only,na,7.6,0,0.2,3.5,10.3,3.9
Jointly with someone else only,2.3,3.2,3,5.6,2.9,3.3,2.9
Jointly with spouse/partner and,,,,,,,
someone else,Na,0.9,0,0,0.4,1.1,0.5
Both alone and jointly,0.2,0.2,0,0.6,0.2,0,0.2
,,,,,,,
Does not own,91.3,46.7,39.5,57.8,68.8,26.7,66.4
,,,,,,,
Total,100,100,100,100,100,100,100
Number,"6,576","6,257",49,771,"13,652",801,"14,453"
NONAGRICULTURAL LAND OWNERSHIP,,,,,,,
Owns,2.1,14,18.9,8.3,8,22.6,8.8
Alone,1.5,11.3,18,7.3,6.4,18.3,7
Jointly with spouse/partner only,Na,1.9,0,0.3,0.9,2.9,1
Jointly with someone else only,0.6,0.5,0.8,0.7,0.6,0.5,0.6
Jointly with spouse/partner and,,,,,,,
someone else,na,0.3,0,0,0.1,0,0.1
Both alone and jointly,0,0.1,0,0,0,0.8,0.1
,,,,,,,
Does not own,97.9,86,81.1,91.7,92,77.4,91.2
,,,,,,,
Total,100,100,100,100,100,100,100
Number,"6,576","6,257",49,771,"13,652",801,"14,453"
"Note: Figures in blue are based on 25–49 unweighted cases.
 na = not applicable",,,,,,,
