Source: ,Communications Authority of Kenya & KNBS (2023/24) and Dalberg Advisors (2021),
,https://www.ca.go.ke/urban-rural-digital-divide-hinders-ict-uptake-joint-ca-and-knbs-survey-shows/,
,https://dalberg.com/wp-content/uploads/2021/11/Kenyas_Digital_Ecomony_Full_report_Aug_2021-1-1.pdf,
,,
This dataset contains information on gender-disaggregated mobile phone ownership and the use of advanced digital services in Kenya from 2023/2024 and 2021 respectively.,,
,,
,Gender,Percentage (%)
Mobile ownership,Men,54.5
Mobile ownership,Women,52.9
Use of advanced digital services,Men,54
Use of advanced digital services,Women,35
