,Overall Inflation (%),Food Inflation (%)
Jan-19,11.4%,13.5%
Feb-19,11.3%,13.5%
Mar-19,11.3%,13.5%
Apr-19,11.4%,13.7%
May-19,11.4%,13.8%
Jun-19,11.2%,13.6%
Jul-19,11.1%,13.4%
Aug-19,11.0%,13.2%
Sep-19,11.2%,13.5%
Oct-19,11.6%,14.1%
Nov-19,11.9%,14.5%
Dec-19,12.0%,14.7%
Jan-20,12.1%,14.8%
Feb-20,12.2%,14.9%
Mar-20,12.3%,15.0%
Apr-20,12.3%,15.0%
May-20,12.4%,15.0%
Jun-20,12.6%,15.2%
Jul-20,12.8%,15.5%
Aug-20,13.2%,16.0%
Sep-20,13.7%,16.7%
Oct-20,14.2%,17.4%
Nov-20,14.9%,18.3%
Dec-20,15.8%,19.6%
Jan-21,16.5%,20.6%
Feb-21,17.3%,21.8%
Mar-21,18.2%,22.9%
Apr-21,18.1%,22.7%
May-21,17.9%,22.3%
Jun-21,17.8%,21.8%
Jul-21,17.4%,21.0%
Aug-21,17.0%,20.3%
Sep-21,16.6%,19.6%
Oct-21,16.0%,18.3%
