Source:,Country - ONE Data & Analysis,
,,
,,
Proportion of people with insufficient food,,
,,
date,Africa (median),Ghana
2022-11-07,26%,20%
2022-11-08,26%,20%
2022-11-09,26%,20%
2022-11-10,26%,20%
2022-11-11,26%,20%
2022-11-12,26%,20%
2022-11-13,26%,20%
2022-11-14,26%,20%
2022-11-15,26%,20%
2022-11-16,26%,20%
2022-11-17,26%,20%
2022-11-18,26%,21%
2022-11-19,26%,21%
2022-11-20,26%,21%
2022-11-21,26%,21%
2022-11-22,26%,21%
2022-11-23,26%,21%
2022-11-24,26%,21%
2022-11-25,26%,21%
2022-11-26,26%,21%
2022-11-27,26%,21%
2022-11-28,25%,21%
2022-11-29,25%,21%
2022-11-30,25%,21%
2022-12-01,24%,20%
2022-12-02,24%,20%
2022-12-03,24%,20%
2022-12-04,24%,20%
2022-12-05,24%,20%
2022-12-06,24%,20%
2022-12-07,24%,20%
2022-12-08,25%,21%
2022-12-09,24%,21%
2022-12-10,23%,21%
2022-12-11,23%,21%
2022-12-12,22%,21%
2022-12-13,22%,21%
2022-12-14,22%,21%
2022-12-15,22%,21%
2022-12-16,22%,21%
2022-12-17,22%,21%
2022-12-18,22%,21%
2022-12-19,22%,21%
2022-12-20,22%,21%
2022-12-21,22%,21%
2022-12-22,22%,21%
2022-12-23,22%,21%
2022-12-24,22%,21%
2022-12-25,22%,21%
2022-12-26,22%,21%
2022-12-27,22%,21%
2022-12-28,22%,21%
2022-12-29,23%,21%
2022-12-30,22%,21%
2022-12-31,23%,21%
2023-01-01,22%,21%
2023-01-02,22%,21%
2023-01-03,22%,21%
2023-01-04,22%,21%
2023-01-05,22%,21%
2023-01-06,23%,21%
2023-01-07,22%,21%
2023-01-08,22%,21%
2023-01-09,22%,21%
2023-01-10,22%,21%
2023-01-11,22%,21%
2023-01-12,22%,21%
2023-01-13,22%,21%
2023-01-14,22%,21%
2023-01-15,22%,21%
2023-01-16,22%,21%
2023-01-17,22%,21%
2023-01-18,22%,21%
2023-01-19,22%,20%
2023-01-20,22%,20%
2023-01-21,22%,21%
2023-01-22,22%,21%
2023-01-23,22%,21%
2023-01-24,22%,21%
2023-01-25,22%,21%
2023-01-26,22%,21%
2023-01-27,22%,22%
2023-01-28,22%,22%
2023-01-29,23%,22%
2023-01-30,24%,21%
2023-01-31,24%,22%
2023-02-01,25%,23%
2023-02-02,25%,23%
2023-02-03,25%,22%
2023-02-04,25%,22%
2023-02-05,25%,22%
2023-02-06,26%,23%
2023-02-07,25%,23%
2023-02-08,26%,23%
2023-02-09,26%,23%
2023-02-10,26%,23%
2023-02-11,27%,23%
2023-02-12,27%,23%
2023-02-13,27%,23%
2023-02-14,27%,23%
2023-02-15,28%,23%
2023-02-16,27%,23%
2023-02-17,27%,23%
2023-02-18,27%,23%
2023-02-19,27%,24%
2023-02-20,27%,24%
2023-02-21,27%,28%
2023-02-22,27%,27%
2023-02-23,28%,27%
2023-02-24,27%,27%
2023-02-25,27%,27%
2023-02-26,27%,27%
2023-02-27,27%,27%
2023-02-28,27%,27%
2023-03-01,27%,27%
2023-03-02,27%,27%
2023-03-03,27%,27%
2023-03-04,27%,27%
2023-03-05,29%,25%
2023-03-06,30%,25%
2023-03-07,27%,25%
2023-03-08,26%,25%
2023-03-09,25%,25%
