Source:,Country - ONE Data & Analysis,,
,,,
Proportion of people with insufficient food (%),,,
,,,
Date,Kenya,Tanzania,Uganda
29-08-23,24.0,6.9,17.1
28-08-23,23.6,6.8,17.1
27-08-23,23.1,6.8,17.1
26-08-23,24.0,6.9,17.1
25-08-23,23.8,7.0,17.1
24-08-23,23.3,7.0,17.1
23-08-23,23.3,7.2,17.1
22-08-23,22.9,7.3,17.1
21-08-23,22.5,7.3,17.1
20-08-23,20.9,7.4,17.1
19-08-23,21.2,7.4,17.1
18-08-23,21.6,7.5,17.1
17-08-23,21.1,7.5,17.1
16-08-23,20.8,7.5,17.1
15-08-23,21.9,7.4,20.3
14-08-23,21.8,7.5,20.3
13-08-23,21.8,7.4,20.2
12-08-23,22.6,7.4,20.2
11-08-23,22.3,7.4,20.2
10-08-23,22.1,7.6,20.2
09-08-23,22.1,7.5,20.2
08-08-23,22.4,7.6,20.2
07-08-23,22.4,7.6,21.1
06-08-23,22.4,7.7,21.0
05-08-23,22.2,7.7,20.0
04-08-23,22.0,7.6,20.0
03-08-23,22.2,7.6,19.7
02-08-23,22.5,7.7,19.6
01-08-23,22.4,7.7,20.9
31-07-23,22.4,7.7,20.9
30-07-23,22.8,7.6,20.9
29-07-23,24.0,7.6,20.9
28-07-23,24.0,7.5,20.9
27-07-23,23.2,7.4,20.8
26-07-23,23.4,7.4,20.3
25-07-23,23.8,7.4,20.3
24-07-23,23.7,7.5,20.3
23-07-23,23.6,7.5,20.3
22-07-23,23.8,7.5,20.3
21-07-23,23.8,7.6,20.3
20-07-23,23.6,7.5,20.3
19-07-23,23.7,7.5,20.3
18-07-23,23.3,7.6,20.3
17-07-23,24.3,7.6,20.3
16-07-23,24.0,7.6,20.3
15-07-23,23.9,7.7,20.2
14-07-23,24.2,7.7,20.2
13-07-23,24.2,7.7,20.2
12-07-23,24.4,8.0,31.5
11-07-23,24.1,8.0,31.6
10-07-23,23.9,7.9,31.5
09-07-23,23.5,7.7,31.5
08-07-23,23.6,7.8,31.5
07-07-23,23.7,7.9,32.8
06-07-23,24.7,7.8,32.8
05-07-23,24.7,7.8,32.8
04-07-23,25.0,7.8,32.7
03-07-23,26.1,7.7,32.7
02-07-23,26.4,7.6,32.7
01-07-23,26.6,7.7,34.1
30-06-23,26.4,7.5,33.9
29-06-23,26.0,7.5,33.9
28-06-23,25.9,7.5,33.9
27-06-23,26.7,7.7,33.7
26-06-23,26.0,7.7,33.7
25-06-23,25.7,7.7,33.7
24-06-23,25.6,7.7,33.7
23-06-23,25.4,7.7,35.9
22-06-23,25.3,7.9,35.9
21-06-23,25.4,7.9,35.9
20-06-23,25.5,7.9,35.6
19-06-23,25.3,8.0,33.8
18-06-23,25.3,8.0,33.8
17-06-23,25.0,8.0,35.6
16-06-23,24.5,8.0,35.7
15-06-23,24.4,8.1,33.8
14-06-23,23.3,8.1,34.0
13-06-23,23.1,8.2,34.0
12-06-23,22.5,8.2,34.1
11-06-23,22.5,8.2,34.1
10-06-23,22.5,8.1,34.3
09-06-23,22.7,8.2,34.3
08-06-23,22.7,8.1,34.3
07-06-23,22.7,8.2,34.3
06-06-23,21.5,8.2,32.2
05-06-23,21.3,8.1,32.2
04-06-23,20.6,8.2,32.2
03-06-23,18.5,8.1,32.2
02-06-23,18.1,8.2,32.2
01-06-23,18.1,8.2,32.1
31-05-23,18.3,8.2,32.1
30-05-23,17.7,8.3,32.1
29-05-23,17.9,8.5,32.1
28-05-23,17.1,8.4,32.1
27-05-23,18.1,8.4,32.1
26-05-23,18.4,8.5,32.1
25-05-23,18.5,8.5,32.1
24-05-23,18.3,8.5,32.1
23-05-23,18.8,8.4,32.3
22-05-23,18.8,8.5,32.3
21-05-23,19.3,8.5,32.3
20-05-23,19.2,8.4,32.7
19-05-23,19.5,8.5,32.7
18-05-23,19.5,8.4,32.7
17-05-23,19.5,8.4,32.8
16-05-23,19.4,8.4,32.8
15-05-23,19.0,8.5,32.9
14-05-23,19.6,8.4,32.9
13-05-23,19.9,8.3,32.9
12-05-23,19.6,8.4,32.9
11-05-23,19.6,8.4,32.9
10-05-23,19.8,8.4,32.9
09-05-23,20.1,8.4,32.9
08-05-23,20.2,8.3,32.9
07-05-23,20.6,8.2,32.9
06-05-23,21.5,8.4,33.1
05-05-23,21.6,8.3,33.1
04-05-23,22.1,8.4,33.0
03-05-23,22.0,8.3,33.0
02-05-23,22.0,8.4,33.0
01-05-23,21.7,8.5,33.0
30-04-23,22.3,8.5,33.3
29-04-23,22.2,8.5,33.4
