Source:,Country - ONE Data & Analysis,
,,
,,
,,
date,Africa (median),Kenya
2022-11-07,26.3%,21.7%
2022-11-08,26.3%,21.2%
2022-11-09,26.2%,21.0%
2022-11-10,26.2%,20.2%
2022-11-11,26.2%,20.5%
2022-11-12,26.3%,20.5%
2022-11-13,26.3%,20.9%
2022-11-14,26.3%,21.0%
2022-11-15,26.3%,21.2%
2022-11-16,26.3%,21.3%
2022-11-17,26.3%,20.6%
2022-11-18,26.3%,20.5%
2022-11-19,26.3%,20.6%
2022-11-20,26.3%,20.3%
2022-11-21,26.1%,20.2%
2022-11-22,26.0%,20.2%
2022-11-23,26.1%,20.2%
2022-11-24,26.2%,20.1%
2022-11-25,26.3%,19.8%
2022-11-26,25.7%,19.7%
2022-11-27,26.0%,19.5%
2022-11-28,25.1%,19.1%
2022-11-29,24.7%,18.8%
2022-11-30,24.6%,18.2%
2022-12-01,23.8%,18.5%
2022-12-02,24.4%,19.0%
2022-12-03,23.5%,19.3%
2022-12-04,24.0%,19.3%
2022-12-05,23.9%,18.8%
2022-12-06,24.2%,18.6%
2022-12-07,24.1%,18.7%
2022-12-08,24.7%,19.2%
2022-12-09,24.3%,18.7%
2022-12-10,23.5%,18.6%
2022-12-11,22.6%,19.3%
2022-12-12,22.3%,20.1%
2022-12-13,22.3%,20.4%
2022-12-14,22.3%,20.4%
2022-12-15,22.3%,19.9%
2022-12-16,22.3%,19.4%
2022-12-17,22.3%,19.4%
2022-12-18,22.3%,18.0%
2022-12-19,22.3%,17.8%
2022-12-20,22.3%,19.0%
2022-12-21,22.3%,19.2%
2022-12-22,22.3%,18.9%
2022-12-23,22.3%,19.4%
2022-12-24,22.3%,18.8%
2022-12-25,22.3%,19.2%
2022-12-26,22.3%,18.8%
2022-12-27,22.3%,18.8%
2022-12-28,22.3%,18.8%
2022-12-29,22.6%,19.1%
2022-12-30,22.3%,18.9%
2022-12-31,23.0%,18.4%
2023-01-01,22.3%,17.7%
2023-01-02,22.3%,16.8%
2023-01-03,22.3%,16.4%
2023-01-04,22.3%,16.4%
2023-01-05,22.3%,16.3%
2023-01-06,22.8%,16.8%
2023-01-07,22.3%,16.7%
2023-01-08,22.3%,16.6%
2023-01-09,22.3%,17.2%
2023-01-10,22.3%,17.5%
2023-01-11,22.3%,16.9%
2023-01-12,22.3%,16.7%
2023-01-13,22.2%,16.2%
2023-01-14,22.3%,16.8%
2023-01-15,22.3%,16.6%
2023-01-16,22.3%,17.3%
2023-01-17,22.3%,18.5%
2023-01-18,22.3%,17.8%
2023-01-19,22.3%,17.0%
2023-01-20,22.3%,17.0%
2023-01-21,22.3%,16.8%
2023-01-22,22.3%,16.3%
2023-01-23,22.3%,16.6%
2023-01-24,22.3%,16.6%
2023-01-25,22.3%,16.5%
2023-01-26,22.5%,16.7%
2023-01-27,23.0%,16.5%
2023-01-28,23.0%,16.4%
2023-01-29,23.7%,15.7%
2023-01-30,24.1%,16.5%
2023-01-31,24.4%,16.4%
2023-02-01,24.6%,16.9%
2023-02-02,24.9%,16.9%
2023-02-03,24.7%,17.1%
2023-02-04,24.7%,17.6%
2023-02-05,24.7%,17.0%
2023-02-06,25.2%,17.4%
