Source:,https://datacatalog.worldbank.org/search?search_api_views_fulltext_op=AND&query=Prevalence+Of+Severe+Food+Insecurity+In+The+Population+%28%25%29&sort_by=search_api_relevance&sort_by=search_api_relevance,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Prevalence Of Severe Food Insecurity In The Population (%),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kenya,31.30%,31.80%,33.20%,33.00%,31.30%,28.20%,26.40%,25.60%,25.40%,24.50%,23.50%,22.70%,22.40%,22.30%,22.80%,25.00%,27.40%,29.40%
Nigeria,9.30%,9.00%,9.00%,8.30%,7.40%,6.50%,6.10%,6.00%,6.00%,6.10%,6.20%,6.50%,7.00%,7.80%,8.60%,9.60%,11.50%,13.40%
Sub-Saharan Africa,27.60%,26.90%,26.40%,25.50%,24.50%,23.40%,22.70%,22.20%,21.70%,21.10%,20.60%,20.20%,20.00%,19.80%,19.70%,20.10%,20.70%,21.40%
Ghana (lowest),15.60%,13.60%,12.00%,11.00%,10.10%,9.30%,8.30%,7.30%,6.30%,5.60%,5.30%,5.50%,5.90%,6.20%,6.30%,6.20%,5.90%,5.50%
Central African Republic (highest),42.50%,42.00%,41.50%,41.40%,40.80%,39.50%,37.60%,35.60%,33.70%,32.40%,32.00%,33.40%,37.50%,44.60%,52.20%,57.80%,59.80%,59.60%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Full Data Set,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,71.50%,68.90%,65.30%,61.30%,57.80%,54.80%,51.80%,48.60%,45.40%,42.50%,40.40%,38.20%,35.10%,31.20%,28.10%,26.40%,25.60%,25.00%
Benin,22.70%,20.60%,18.60%,17.40%,16.30%,15.40%,14.30%,13.30%,12.70%,12.10%,11.80%,11.30%,10.80%,10.20%,9.50%,9.90%,10.10%,10.10%
Burkina Faso,25.40%,25.60%,25.80%,25.60%,25.30%,24.90%,24.20%,23.60%,22.70%,21.90%,21.20%,20.70%,20.30%,20.10%,20.00%,20.00%,20.00%,20.00%
Botswana,35.70%,35.00%,34.70%,33.50%,32.40%,31.90%,32.20%,32.40%,31.80%,30.50%,28.50%,26.50%,25.10%,24.90%,25.30%,26.10%,26.40%,26.40%
Central African Republic,42.50%,42.00%,41.50%,41.40%,40.80%,39.50%,37.60%,35.60%,33.70%,32.40%,32.00%,33.40%,37.50%,44.60%,52.20%,57.80%,59.80%,59.60%
Cote d'Ivoire,20.40%,21.50%,21.70%,21.30%,20.50%,20.00%,20.00%,20.50%,21.30%,21.80%,21.90%,21.60%,21.50%,21.40%,21.00%,20.40%,19.60%,19.00%
Cameroon,30.80%,28.50%,26.50%,24.40%,22.40%,20.30%,18.20%,16.20%,14.40%,12.90%,11.50%,10.10%,8.90%,8.00%,7.30%,7.70%,8.70%,9.90%
"Congo, Rep.",36.80%,34.00%,32.80%,34.20%,36.70%,40.20%,41.60%,42.20%,41.80%,41.30%,40.50%,39.50%,39.20%,38.70%,38.20%,37.70%,38.50%,40.30%
