,Country - ONE Data & Analysis,
proportion of people with insufficient food,,
,,
date,Africa (median),Kenya
2022-11-07,53%,22%
2022-11-08,53%,21%
2022-11-09,52%,21%
2022-11-10,52%,20%
2022-11-11,52%,20%
2022-11-12,53%,20%
2022-11-13,53%,21%
2022-11-14,53%,21%
2022-11-15,53%,21%
2022-11-16,53%,21%
2022-11-17,53%,21%
2022-11-18,53%,21%
2022-11-19,53%,21%
2022-11-20,53%,20%
2022-11-21,52%,20%
2022-11-22,52%,20%
2022-11-23,52%,20%
2022-11-24,52%,20%
2022-11-25,53%,20%
2022-11-26,51%,20%
2022-11-27,52%,19%
2022-11-28,50%,19%
2022-11-29,49%,19%
2022-11-30,49%,18%
2022-12-01,48%,18%
2022-12-02,49%,19%
2022-12-03,47%,19%
2022-12-04,48%,19%
2022-12-05,48%,19%
2022-12-06,48%,19%
2022-12-07,48%,19%
2022-12-08,49%,19%
2022-12-09,49%,19%
2022-12-10,47%,19%
2022-12-11,45%,19%
2022-12-12,45%,20%
2022-12-13,45%,20%
2022-12-14,45%,20%
2022-12-15,45%,20%
2022-12-16,45%,19%
2022-12-17,45%,19%
2022-12-18,45%,18%
2022-12-19,45%,18%
2022-12-20,45%,19%
2022-12-21,45%,19%
2022-12-22,45%,19%
2022-12-23,45%,19%
2022-12-24,45%,19%
2022-12-25,45%,19%
2022-12-26,45%,19%
2022-12-27,45%,19%
2022-12-28,45%,19%
2022-12-29,45%,19%
2022-12-30,45%,19%
2022-12-31,46%,18%
2023-01-01,45%,18%
2023-01-02,45%,17%
2023-01-03,45%,16%
2023-01-04,45%,16%
2023-01-05,45%,16%
2023-01-06,46%,17%
2023-01-07,45%,17%
2023-01-08,45%,17%
2023-01-09,45%,17%
2023-01-10,45%,18%
2023-01-11,45%,17%
2023-01-12,45%,17%
2023-01-13,44%,16%
2023-01-14,45%,17%
2023-01-15,45%,17%
2023-01-16,45%,17%
2023-01-17,45%,19%
2023-01-18,45%,18%
2023-01-19,45%,17%
2023-01-20,45%,17%
2023-01-21,45%,17%
2023-01-22,45%,16%
2023-01-23,45%,17%
2023-01-24,45%,17%
2023-01-25,45%,16%
2023-01-26,45%,17%
2023-01-27,45%,16%
2023-01-28,45%,16%
2023-01-29,46%,16%
2023-01-30,48%,16%
2023-01-31,48%,16%
2023-02-01,49%,17%
2023-02-02,50%,17%
2023-02-03,50%,17%
2023-02-04,50%,18%
2023-02-05,51%,17%
2023-02-06,51%,17%
2023-02-07,51%,18%
2023-02-08,52%,17%
2023-02-09,53%,17%
2023-02-10,52%,17%
2023-02-11,54%,17%
2023-02-12,54%,17%
2023-02-13,54%,18%
2023-02-14,54%,18%
2023-02-15,56%,18%
2023-02-16,54%,18%
2023-02-17,55%,18%
2023-02-18,54%,19%
2023-02-19,54%,19%
2023-02-20,55%,19%
2023-02-21,54%,19%
2023-02-22,55%,19%
2023-02-23,55%,19%
2023-02-24,55%,19%
2023-02-25,55%,19%
2023-02-26,54%,19%
2023-02-27,55%,19%
2023-02-28,54%,20%
2023-03-01,54%,20%
2023-03-02,54%,20%
2023-03-03,54%,20%
2023-03-04,54%,20%
2023-03-05,59%,20%
2023-03-06,60%,20%
2023-03-07,53%,20%
2023-03-08,53%,21%
2023-03-09,51%,21%
