State,Price of Yam Tuber 
ABIA,445.52
ABUJA,461.01
ADAMAWA,128.66
AKWA IBOM,537.24
ANAMBRA,484.36
BAUCHI,123.54
BAYELSA,483.23
BENUE,127.63
BORNO,126.55
CROSS RIVER,226.58
DELTA,305.31
EBONYI,407.94
EDO,481.28
EKITI,500.12
ENUGU,344.71
GOMBE,131.36
IMO,382.38
JIGAWA,307.29
KADUNA,310.64
KANO,327.72
KATSINA,337.50
KEBBI,393.77
KOGI,135.43
KWARA,144.18
LAGOS,476.78
NASSARAWA,129.76
NIGER,130.21
OGUN,427.94
ONDO,289.97
OSUN,411.74
OYO,432.00
PLATEAU,138.20
RIVERS,548.08
SOKOTO,365.55
TARABA,122.56
YOBE,140.24
ZAMFARA,316.02
