Source:,"County Government of Mombasa, 2021",,
Link:,https://www.mombasa.go.ke/wp-content/uploads/2021/10/County-Climate-Change-Action-Plan.pdf,,
,,,
This dataset contains information on rate and impact of the rising sea level in Mombasa,,,
,,,
Theme,Indicator / Variable,Value / Description,Impact
Sea Level Rise Rate,Annual increase,~2 mm per year,Gradual increase in sea levels
Projected Submergence,Percentage of Mombasa affected,17%,Significant land loss risk
Projected Submergence,Land area affected,"4,600 hectares",Large-scale coastal inundation
Sea Level Rise Scenario,Rise level,0.3 metres,Triggers projected submergence
