Source:,"Ministry of Water, Sanitation and Irrigation, Kenya, 2025",,
Link:,https://www.water.go.ke/sites/default/files/2025-01/Water%20and%20Sanitation%20Status%20in%20Coast%20Region.pdf,,
,,,
"This dataset contains information on the rate of water coverage in coastal region, Kenya 2025",,,
,,,
County,Demand,Supply,Water coverage
Lamu,"25,031m3/day","9,500m3/day",38%
Kilifi,"105,273m3/day","72,000m3/day",68.40%
Kwale,"66,447m3/day","25,000m3/day",37.60%
Mombasa,"196,173m3/day","55,000m3/day",28%
Taita Taveta,"37,774m3/day","18,200m3/day",48.18%
Tana River,"22,488m3/day","10,600m3/day",47.1%.
