Source: ,"FAO, 2015"
,
This dataset contains information on statistics related to Senegal’s fishing industry as of 2015.,
,
Category,Statistic
Population of Senegal,15 million
Fishing contribution to GDP,Over 3%
Direct fishing jobs,"53,000"
Indirect fishing jobs,"Over 500,000"
Fish exports (2015),USD 353 million
Fish as part of diet,43% of animal protein intake
Annual fish consumption per person,24 kg
Coastal fisheries contribution,80% of total capture
Coastal fisheries export supply,60% of supply for exports
Jobs & livelihoods in coastal fisheries,"Over 108,000"
