"Source: USAID, 2020",,,,"Source: USAID, 2023",,,,
,,,,,,,,
USAID Food for Peace Contributions to Kenya,,,,,,,,
,,,,,,,,
,U.S. Dollars,,,USAID/BHA Funding in Kenya1,,,,
Fiscal Year 2020,$40 million,,,,,Emergency,ER4,TOTAL
Fiscal Year 2019,$102.1 million,,,FY 2022,2022,"$309,981,682","$57,925,616","$367,907,298"
Fiscal Year 2018,$89.3 million,,,FY 2023,2023,"$126,303,146","$12,560","$126,315,706"
,,,,,,,,
,,,,,,,,
"Source: USAID, 2023",,,,,,,,
,,,,,,,,
USG HUMANITARIAN FUNDING FOR THE HORN OF AFRICA RESPONSE IN FY 2023,,,,,,,,
,,,,,,,,
AAH,"Agriculture, Food Assistance, Nutrition, WASH","Isiolo, Mandera","$7,000,000",,,,,
Concern,"Agriculture, Food Assistance, Nutrition, WASH","Marsabit, Samburu, Turkana","$9,000,000",,,,,
IRC,"Agriculture, Food Assistance, Nutrition, Protection, WASH","Samburu, Turkana","$5,000,000",,,,,
Kenya Red Cross Society,"Food Assistance, Nutrition, WASH","Baringo, Turkana, West Pokot","$7,000,000",,,,,
Rural Community Development Agency (RACIDA),"Agriculture, Food Assistance, Nutrition, WASH",Mandera,"$9,000,000",,,,,
SCF,"Agriculture, Food Assistance, Nutrition, WASH ","Garissa, Wajir","$9,500,000",,,,,
WFP,Food Assistance–Cash Transfers for Food; Nutrition,"Baringo, Garissa, Isiolo, Kitui, River, Turkana, Wajir","$110,600,000",,,,,
WFP,Food Assistance–U.S. In-Kind Food Aid,"Garissa, Isiolo, Kitui, Mandera, Marsabit,Samburu, Tana River, Turkana, Wajir","$38,656,013",,,,,
Wajir South Development Association (WASDA),"Agriculture, MCPA, WASH",Wajir ,"$3,000,000",,,,,
World Vision,"Agriculture, Food Assistance, Nutrition, WASH","Kitui, Tana River ","$7,000,000",,,,,
,Program Support,,"$63,310",,,,,
Total,,,"$205,819,323",,,,,
