Source:,https://data.worldbank.org/indicator/NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, and fishing, value added (% of GDP)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,5.70%,8.20%,5.80%,6.20%,6.30%,5.10%,5.20%,5.20%,4.80%,6.60%,6.20%,5.80%,6.10%,6.50%,7.50%,9.10%,9.80%,10.00%,8.60%,0.00%
Burundi,44.10%,43.80%,43.30%,42.80%,41.90%,40.80%,40.60%,34.90%,38.00%,36.70%,38.40%,36.70%,35.40%,38.40%,35.00%,30.70%,31.50%,28.50%,29.00%,28.90%
Benin,23.50%,25.00%,25.40%,24.50%,26.50%,26.70%,26.60%,27.00%,26.80%,27.00%,25.80%,25.80%,25.80%,25.30%,25.60%,26.40%,27.80%,28.50%,28.10%,26.90%
Burkina Faso,24.90%,26.90%,26.40%,26.00%,23.40%,26.80%,25.20%,21.80%,27.30%,23.20%,24.10%,23.00%,23.80%,23.60%,23.70%,22.60%,21.70%,21.30%,20.40%,20.30%
Botswana,2.80%,2.60%,2.40%,2.70%,2.30%,1.80%,2.00%,2.20%,2.50%,2.80%,2.50%,2.50%,2.70%,2.30%,2.10%,2.20%,2.00%,2.00%,2.00%,1.90%
Central African Republic,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38.30%,37.40%,37.60%,36.80%,32.30%,34.00%,31.50%,31.90%,32.80%,31.20%,32.40%
Cote d'Ivoire,25.00%,25.90%,27.30%,28.80%,23.60%,22.60%,22.60%,22.00%,22.70%,21.20%,24.50%,26.70%,22.20%,21.00%,21.10%,18.40%,19.70%,18.70%,17.50%,15.70%
Cameroon,16.70%,17.40%,16.50%,15.90%,15.50%,14.10%,13.20%,13.20%,13.10%,13.70%,14.10%,13.50%,13.70%,13.90%,14.20%,14.80%,14.50%,14.40%,14.40%,15.40%
"Congo, Dem. Rep.",32.00%,32.90%,26.60%,26.10%,23.90%,21.60%,21.20%,21.60%,22.60%,23.70%,21.40%,20.90%,20.40%,19.30%,18.60%,18.40%,18.60%,19.70%,19.20%,20.00%
"Congo, Rep.",5.30%,5.80%,6.30%,6.30%,5.50%,4.50%,4.00%,4.30%,3.70%,4.50%,3.80%,3.40%,3.90%,4.40%,4.80%,7.20%,7.20%,6.20%,7.20%,6.30%
Comoros,29.40%,29.40%,29.40%,29.40%,29.40%,29.40%,29.40%,29.00%,29.10%,30.00%,30.40%,30.60%,30.20%,30.80%,30.00%,30.60%,31.40%,31.90%,32.60%,0.00%
Cabo Verde,12.90%,11.40%,10.40%,10.10%,9.90%,9.00%,8.30%,8.50%,7.80%,8.30%,8.00%,7.80%,8.40%,8.30%,8.00%,8.70%,8.00%,6.70%,5.30%,4.80%
Eritrea,12.60%,15.20%,13.60%,11.80%,10.60%,22.60%,24.60%,24.30%,16.80%,14.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Ethiopia,44.70%,42.30%,38.70%,37.30%,38.70%,41.20%,42.50%,42.30%,45.20%,45.90%,41.40%,41.20%,44.30%,41.20%,38.50%,36.10%,34.70%,33.80%,31.20%,33.90%
Gabon,6.20%,6.10%,5.70%,6.00%,5.50%,5.00%,4.90%,5.00%,4.20%,5.00%,3.90%,3.40%,3.40%,3.30%,3.60%,4.30%,5.00%,5.30%,5.40%,5.70%
