"Source: Kenya Demographic and Health Survey, 2022",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 28.1 Agricultural land ownership and documentation of ownership: Women,,,,,,,,,,,,
"Percent distribution of women age 15–49 by ownership of agricultural land, and among women who own agricultural land, percent distribution by whether the agricultural land owned has a title deed and whether or not the woman’s name appears on the title deed, according to background characteristics, Kenya DHS 2022",,,,,,,,,,,,
,Percentage who own land:,,,,,,Land has a title deed:1,,,,,
Background characteristic,Alone,Jointly2,Both alone and jointly,Percentage who do not own land,Total,Number,Woman’s name is on title/ deed1,Woman’s name is not on title/ deed1,Does not have a title/ deed1,Don’t know3,Total,Number of women who own land4
Age,,,,,,,,,,,,
15-19,0.3,1.8,0,97.9,100,"6,025",6.7,22.5,62.4,8.4,100,124
20-24,0.9,12.8,0.1,86.3,100,"6,001",8.4,23.3,64.7,3.6,100,825
25-29,2,23.3,0,74.7,100,"5,687",13.1,21.6,62.8,2.5,100,"1,439"
30-34,3.4,28.4,0.1,68.1,100,"4,530",14.7,20.5,63.3,1.5,100,"1,447"
35-39,4.8,31.6,0.5,63.2,100,"4,311",14.4,22.1,61.7,1.7,100,"1,587"
40-44,7.1,36.1,0.2,56.6,100,"3,084",15.1,22.9,60.3,1.7,100,"1,337"
45-49,9.5,38.4,0.2,52,100,"2,518",12.9,27.8,57.6,1.7,100,"1,209"
,,,,,,,,,,,,
Residence,,,,,,,,,,,,
Urban,2.1,11.9,0.1,85.9,100,"13,143",27.4,29,42.1,1.5,100,"1,854"
Rural,3.8,28.2,0.2,67.8,100,"19,013",9.1,21,67.6,2.3,100,"6,114"
,,,,,,,,,,,,
Education5,,,,,,,,,,,,
No education,3.3,20.6,0.2,76,100,"1,770",6.8,16.4,75.2,1.6,100,426
Primary,4.2,28.1,0.2,67.6,100,"11,687",8.4,22.2,67.4,2,100,"3,791"
Secondary,2.1,16.4,0.1,81.4,100,"12,204",13.3,23.6,60.4,2.7,100,"2,270"
More than secondary,2.9,19.1,0.2,77.8,100,"6,150",30.2,26.4,41.8,1.5,100,"1,366"
,,,,,,,,,,,,
Wealth quintile,,,,,,,,,,,,
Lowest,4,25.1,0.1,70.8,100,"5,019",4.3,16,77.7,2,100,"1,466"
Second,4.1,29.1,0,66.8,100,"5,698",6.4,18.6,71.8,3.2,100,"1,893"
Middle,3.1,26,0.2,70.6,100,"6,069",10,22.9,65.2,1.9,100,"1,782"
Fourth,2.2,16.7,0.2,80.9,100,"7,139",16.7,29.8,51.8,1.7,100,"1,362"
Highest,2.6,15.1,0.1,82.2,100,"8,231",32.6,28.6,37.3,1.4,100,"1,465"
,,,,,,,,,,,,
Total,3.1,21.5,0.1,75.2,100,"32,156",13.4,22.8,61.7,2.1,100,"7,968"
"1 Title deed or other government-recognized document
 2 Jointly with husband, someone else, or both husband and someone else
 3 Includes women who have land with a title deed or other government-recognized document, but they do not know if their name is on it, and women who do not know if there is a title deed or other government-recognized document for the land
 4 Includes women who own land alone, jointly with their husband only, jointly with someone else only, jointly with their husband and someone else, or both alone and jointly
 5 No education includes informal education (Madrassa/Duksi/adult education), and more than secondary includes middle-level colleges and universities. Excludes people who reported vocational training as the highest education level attended",,,,,,,,,,,,
