Source:,"Mastercard, 2025",,
Link:,https://www.mastercard.com/news/eemea/en/newsroom/press-releases/en/2025-1/march/93-women-in-kenya-considering-starting-or-running-their-own-business/,,
,,,
"This dataset contains information on entrepreneurship among women in Kenya, 2025.",,,
,,,
Category,Indicator,Kenya (%),Comparison / Notes
Entrepreneurial Intent,Women considering starting/running a business,93%,EEMEA average: 51%
Generational Intent,Baby Boomers,93%,Highest among older groups
,Gen X,96%,Highest overall
,Millennials,89%,
,Gen Z,85%,Lower than older groups
Entrepreneurial Action Gap,Women yet to start business,62%,Despite high intent
Side Hustles,Women with side hustles,76%,Across all generations
,Gen X with side hustles,80%,Highest
,Gen Z with side hustles,79%,Close second
Reasons for Starting Business,Follow personal dream,45%,
,Work-life flexibility,41%,
Reasons for Side Hustles,Earn more money,77%,Top reason
,Financial independence,68%,
,Financial safety net,49%,
Business Growth Expectations,Women expecting >50% growth (5 years),49%,Men: 39%
Top Sectors,Agriculture,35%,Most popular
,Business services,30%,
,Food & drink,22%,
Barriers (General),Lack of funding,53%,Biggest barrier
,Lack of financial resources,44%,
,Difficulty securing startup capital,34%,
Barriers (Existing Businesses),Initial funding challenge,63%,Among founders
Barriers (Non-starters),Lack of startup money,82%,Main reason for not starting
Scaling Challenges,Unsure how to scale,47%,EEMEA: 31%
,Lack of business plan skills,41%,
Support Needs,Entrepreneurial networks,48%,
,Business planning training,46%,
,Access to grants,45%,
,Gen X need for networks,61%,Highest demand
Training Needs,Want better business skills training,48%,
,Want entrepreneurship in education,26%,
Technology Adoption,Women using AI tools,65%,
,Report time/cost savings from AI,66%,
Cybersecurity Risks,Concern about fraud (expansion hesitation),57%,
,Have been targeted by fraudsters,58%,
Cybersecurity Knowledge Gap,Women unsure how to protect business,49%,Men: 37%
Cybersecurity Education Need,Want education on security,92%,Very high demand
Mastercard Impact,Small businesses supported globally,"50,000,000",Since 2020
,Women entrepreneurs supported,"37,000,000",Subset of above
