Source:,"World Bank, 2022",
,,
Women who own land alone (% of women age 15-49),,
,,
Country Name,Year,Value
Afghanistan,2015,9.6
Albania,2018,4.7
Armenia,2016,1.6
Benin,2018,5.7
Burkina Faso,2010,8.2
Burundi,2017,4.7
Cambodia,2022,7.3
Cameroon,2018,2.9
Chad,2015,13.6
Colombia,2015,3.8
Comoros,2012,32.9
"Congo, Dem. Rep.",2014,7.6
"Congo, Rep.",2012,7.7
Cote d'Ivoire,2012,6.5
Dominican Republic,2013,2.3
"Egypt, Arab Rep.",2014,0.7
Ethiopia,2016,15.2
Gabon,2021,2.5
"Gambia, The",2020,3.8
Ghana,2014,8.1
Guatemala,2015,8.9
Guinea,2018,7.1
Haiti,2017,6.9
Honduras,2012,7.5
India,2021,9.5
Indonesia,2017,12.7
Jordan,2018,3.2
Kenya,2022,3.1
Kyrgyz Republic,2012,2.8
Lesotho,2014,6
Liberia,2020,4.2
Madagascar,2021,9.4
Malawi,2016,36.6
Mali,2018,12.8
Mauritania,2021,1.8
Mozambique,2015,3.4
Myanmar,2016,14.5
Namibia,2013,8.5
Nepal,2022,9.7
Niger,2012,19.6
Nigeria,2018,4.2
Pakistan,2018,1.2
Papua New Guinea,2018,15.7
Philippines,2022,1.4
Rwanda,2020,5.7
Senegal,2019,2.2
Sierra Leone,2019,4.8
Tajikistan,2012,1.8
Tanzania,2016,8.1
Timor-Leste,2016,29.8
Togo,2014,4.5
Turkiye,2013,2.4
Uganda,2016,7.9
Zambia,2018,5.8
Zimbabwe,2015,3.9
Angola,2016,21.3
