"Source: Kenya Demographic and Health Survey, 2022",,,,,
,,,,,
,,,,,
Table 26.1 House and land ownership: Women,,,,,
"Percent distribution of women age 15–49 by house and land ownership, according to current marital status, Kenya DHS 2022",,,,,
,Marital status,,,,
Ownership status,"Never 
 married","Married/living 
 together",Widowed,"Divorced/
 separated",Total
HOUSE OWNERSHIP,,,,,
Owns,1.8,52.5,65.2,14,32.8
Alone,1.6,2.5,54.7,11.8,4.5
Jointly with spouse/partner only,na,49.1,9.4,1.5,27.7
Jointly with someone else only,0,0.2,0.6,0.6,0.2
Jointly with spouse/partner and someone else,Na,0.6,0.4,0,0.3
Both alone and jointly,0.2,0.1,0,0.1,0.1
,,,,,
Does not own,98.2,47.5,34.8,86,67.2
,,,,,
Total,100,100,100,100,100
Number of women,"10,438","17,822",908,"2,989","32,156"
AGRICULTURAL LAND OWNERSHIP,,,,,
Owns,1.7,39.4,48.6,10.7,24.8
Alone,1.4,1.6,37.3,7.8,3.1
Jointly with spouse/partner only,na,34.9,7.7,1.6,19.7
Jointly with someone else only,0.3,0.9,2.1,1.3,0.8
Jointly with spouse/partner and someone else,na,1.8,1.1,0,1.1
Both alone and jointly,0.1,0.2,0.4,0,0.1
,,,,,
Does not own,98.3,60.6,51.4,89.3,75.2
,,,,,
Total,100,100,100,100,100
Number of women,"10,438","17,822",908,"2,989","32,156"
NON-AGRICULTURAL LAND OWNERSHIP,,,,,
Owns,1.1,10.2,11.5,4.1,6.7
Alone,0.9,0.9,10,3.1,1.4
Jointly with spouse/partner only,na,8.5,1.1,0.4,4.8
Jointly with someone else only,0.2,0.3,0.2,0.5,0.3
Jointly with spouse/partner and someone else,na,0.4,0,0,0.2
Both alone and jointly,0.1,0.2,0.1,0.1,0.1
,,,,,
Does not own,98.9,89.8,88.5,95.9,93.3
,,,,,
Total,100,100,100,100,100
Number of women,"10,438","17,822",908,"2,989","32,156"
na = not applicable,,,,,
