"Source: Nigeria National Bureau of Statistics, 2022",
,
Yam Price in Niger State,
,
Month and Year,Yam tuber price in ₦
Feb-17,238.74
Mar-17,250.53
Apr-17,265.88
May-17,277.81
Jun-17,285.83
Jul-17,288.81
Aug-17,266.97
Sep-17,250.5
Oct-17,226.3
Nov-17,220.52
Dec-17,220.25
Jan-18,219.14
Feb-18,250
Mar-18,297.76
Apr-18,300.24
May-18,317.47
Jun-18,348.03
Jul-18,328.09
Aug-18,342.37
Sep-18,304.96
Oct-18,252.09
Nov-18,234.96
Dec-18,193.68
Jan-19,204.36
Feb-19,214.77
Mar-19,197.12
Apr-19,194.43
May-19,205.4
Jun-19,195.36
Jul-19,157.98
Aug-19,187.41
Sep-19,162.31
Oct-19,140.46
Nov-19,153.72
Dec-19,141.82
Jan-20,134.41
Feb-20,138.56
Mar-20,150.1
Apr-20,124.55
May-20,161.46
Jun-20,257.95
Jul-20,201.03
Aug-20,143.21
Sep-20,153.03
Oct-20,148.88
Nov-20,151.05
Dec-20,150.15
Jan-21,131.24
Feb-21,125.83
Mar-21,118.95
Apr-21,121.44
May-21,129.21
Jun-21,120.83
Jul-21,127.62
Aug-21,127.8
Sep-21,130.1
Oct-21,130.21
Nov-21,136.1
Dec-21,136.51
Jan-22,137.46
Feb-22,142.15
Mar-22,153.6
Apr-22,160.51
May-22,161.64
Jun-22,162.13
Jul-22,177.88
Aug-22,180.92
Sep-22,222.83
Oct-22,230.46
Nov-22,241.76
Dec-22,283.33
Jan-23,296.1
Feb-23,436.41
Mar-23,443.02
Apr-23,444.69
May-23,457.25
Jun-23,510.77
