"Source: FAO, 2021",
,
"Yams production, 1961 to 2021",
,
Year,Yam production in tonnes
1962,3500000
1963,4500000
1964,5000000
1965,6000000
1966,6987000
1967,7806000
1968,8233000
1969,9785000
1970,12033000
1971,9766000
1972,6900000
1973,6935000
1974,7160000
1975,8621000
1976,6556000
1977,6376000
1978,5780000
1979,5256000
1980,5248000
1981,5212000
1982,5385000
1983,4998000
1984,4600000
1985,4738000
1986,5209000
1987,4886000
1988,9132000
1989,9609000
1990,13624000
1991,16956000
1992,19781000
1993,21632000
1994,23153000
1995,22818000
1996,23201000
1997,23972000
1998,24768000
1999,25873000
2000,26201000
2001,26232000
2002,27911000
2003,29697000
2004,31776000
2005,34000000
2006,36720000
2007,31136000
2008,35017000
2009,29091980
2010,37328180
2011,33134172
2012,32318900
2013,35618420
2014,43709800
2015,44103900
2016,48982620
2017,49519100
2018,55364000
2019,52914910
2020,50052976
2021,50377344
