Source:,https://acleddata.com/data-export-tool/,,
,,,
This dataset contains information on Abductions and sexual violence cases by Perpatrator in Nigeria in 2022,,,
,,,
Actor,Abduction/forced disappearance,Sexual violence,Grand Total
Benue Communal Militia (Nigeria),1,,1
Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,1,,1
Fulani Ethnic Militia (Nigeria),23,3,26
IPOB: Indigenous Peoples of Biafra,1,,1
Islamic State (West Africa),1,,1
Islamic State (West Africa) - Lake Chad Faction,14,,14
Islamic State (West Africa) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,11,,11
Kaduna Communal Militia (Nigeria),38,,38
Katsina Communal Militia (Nigeria),26,1,27
Niger Communal Militia (Nigeria),37,,37
Pirates (Nigeria),4,,4
Plateau Communal Militia (Nigeria),1,,1
Sokoto Communal Militia (Nigeria),10,,10
Unidentified Armed Group (Nigeria),279,4,283
Unidentified Communal Militia (Nigeria),1,,1
Zamfara Communal Militia (Nigeria),39,4,43
Grand Total,487,12,499
