Source:,https://acleddata.com/data-export-tool/,,
,,,
This dataset contains information on Abduction/forced disappearance events and Sexual violence in Nigeria from 2004-2022.,,,
,,,
year,Abduction/forced disappearance events,Sexual violence,Grand Total
2004,1,2,3
2005,3,,3
2006,12,,12
2007,49,1,50
2008,3,,3
2009,10,1,11
2010,17,2,19
2011,10,,10
2012,23,2,25
2013,31,2,33
2014,30,5,35
2015,28,5,33
2016,26,2,28
2017,23,3,26
2018,52,11,63
2019,141,3,144
2020,299,12,311
2021,487,12,499
2022,455,16,471
Grand Total,1700,79,1779
