Source: ,"Nyamira County Government, 2025",,
,https://nyamira.go.ke/static/documents/14_03_2025_09_31_30am_PBB_2024-2025_FINAL_%281%29_compressed-compressed.pdf,,
,"Kisii County Government, 2025",,
,https://www.kisii.go.ke/index.php/files/153/Downloads/153/APPROVED-REVISED-PBB-FY-2024-2025.pdf,,
,"Gusii Digital News, 2025",,
,https://www.facebook.com/GusiiDigitalNewsKE/photos/update-nyamira-county-has-paid-stipends-of-all-1379-community-health-promoters-f/1276594211135245/,,
,,,
This dataset contains information on the 2024/2025 Budget Allocation for Community Health Promoters in Kisii and Nyamira counties in Kenya.,,,
,,,
,Number of CHPs,2024/2025 budget allocation,Calculated monthly stipend
Nyamira,"1,379","Ksh 88,740,000","Ksh 5,363"
Kisii,"2,500","Ksh 88,200,000","Ksh 2,940"
