Source: ,"Ministry of Health - Tanzania, 2020"
,
This dataset contains information on the Travel Health Certificate Requirements in Tanzania during COVID-19 in 2020.,
,
Category,Details
Eligible Individuals for Certificate,Citizens & Foreigners residing in the country
Screening Fee (Tanzanians),"Sh40,000 (approx. $1,857)"
Screening Fee (Foreign Residents),"Sh60,000 (approx. $2,785)"
Screening Fee (Visitors),"$100 (approx. Sh10,500)"
Screening Procedure,Results sent to regional chief medical office for approval
Certificate Processing Time,Issued within 72 hours for those without infection
Advance Testing Notice,Travelers must test 5 days before departure
Certificate Validity,Valid for 14 days in most countries
