Source: ,Nigeria National Bureau of Statistics,
,https://www.nigerianstat.gov.ng/download/1241121,
,,
"This dataset contains information on the population of Kano State, Nigeria 1991-2022.",,
,,
Year,Population,Notes / Source
1991,"5,810,470",As per the the national census from NBS (City Population)
2006,"9,401,288",Official national census figure for Kano State (Knoema)
2018,"13,852,238",As per the Demographic Statistics Bulletin (Nigeria) (National Bureau of Statistics)
2019,"14,253,549",Also from the National Bureau of Statistics estimates (National Bureau of Statistics)
2022,"15,462,200",Urban & rural combined projection from NBS (City Population)
