Source:,https://www.npf.gov.ng/zones/zone1.php,,
,,,
State,Total Police Officers,Total Population,Ratio of police to population (Number of Citizens for each Police Officer)
Abia,4284,2845380,664
Adamawa,5626,3178950,565
Akwa Ibom,7043,3902051,554
Anambra,5942,4177828,703
Bauchi,5699,4653066,816
Bayelsa,3174,1704515,537
Benue,6925,4253641,614
Borno,6245,4171104,668
Cross River,9662,2892988,299
Delta,8972,4112445,458
Ebonyi,5327,2176947,409
Edo,7443,3233366,434
Ekiti,5342,2398957,449
Enugu,4126,3267837,792
Gombe,1448,2365040,1633
Imo,7052,3927563,557
Jigawa,3729,4361002,1169
Kaduna,1396,6113503,4379
Kano,5771,9401288,1629
Katsina,6246,5801584,929
Kebbi,4526,3256541,720
Kogi,10148,3314043,327
Kwara,4786,2365353,494
Lagos,22937,9113605,397
Nassarawa,10877,1869377,172
Niger,7149,3954772,553
Ogun,7566,3751140,496
Ondo,7076,3460877,489
Osun,9483,3416959,360
Oyo,6872,5580894,812
Plateau,8157,3206531,393
Rivers,9049,5198716,575
Sokoto,5435,3702676,681
Taraba,5036,2294800,456
Yobe,6720,2321339,345
Zamfara,4988,3278873,657
FCT(Abuja),13292,1406239,106
,,,
,,,
The United Nations recommends one police officer for every 450 citizens,,,
