Source:,https://afrobarometer.org/online-data-analysis/analyse-online,,,,,
,,,,,,
"Understanding that some people were unable to vote in the most recent national election in [20xx], which of the following statements is true for you?",,,,,,
Voting in the most recent national election,,,,,,
Category,Average,Burkina Faso,Côte d´Ivoire,Ghana,Guinea,Niger
You were not registered to vote,5.30%,8.90%,11.70%,1.50%,4.10%,4.40%
You voted in the elections,72.10%,71.00%,51.00%,80.90%,78.60%,70.30%
You decided not to vote,6.00%,4.30%,11.90%,5.90%,1.20%,6.80%
You could not find the polling station,1.00%,0.70%,1.00%,0.50%,2.30%,1.30%
You were prevented from voting,1.20%,1.50%,1.50%,0.20%,1.60%,2.00%
You did not have time to vote,3.90%,3.10%,6.50%,2.70%,4.00%,4.60%
You did not vote because your name not in the register,1.60%,0.80%,2.20%,1.00%,1.70%,2.60%
Did not vote for some other reason,5.00%,4.80%,8.40%,4.50%,2.70%,4.90%
You were too young to vote,3.50%,5.00%,5.50%,2.00%,3.60%,2.90%
Don´t know,0.40%,-,0.40%,0.70%,0.30%,0.30%
