Source: ,Kenya Demographic and Health Survey 2022
,https://www.knbs.or.ke/wp-content/uploads/2023/08/Kenya-Demographic-and-Health-Survey-2022-Main-Report-Volume-1.pdf
,
This dataset contains information on the percentage of women aged 15-49 receiving antenatal care from a skilled provider by county in Kenya 2022.,
,
County,Percentage receiving antenatal care from skilled provider
Mombasa,99.4
Kwale,99.3
Kilifi,99.3
Tana River,95.3
Lamu,97.9
Taita/Taveta,100
Garissa,77.5
Wajir,84
Mandera,76.4
Marsabit,93.8
Isiolo,99.3
Meru,99.2
Tharaka-Nithi,98
Embu,100
Kitui,94.1
Machakos,98
Makueni,99.1
Nyandarua,98.3
Nyeri,97.3
Kirinyaga,100
Murang'a,100
Kiambu,98.4
Turkana,99.5
West Pokot,97.9
Samburu,92.9
Trans Nzoia,98.8
Uasin Gishu,98.9
Elgeyo/Marakwet,99.3
Nandi,97.6
Baringo,99.3
Laikipia,99
Nakuru,97.7
Narok,96.5
Kajiado,100
Kericho,95.7
Bomet,96.6
Kakamega,100
Vihiga,99.1
Bungoma,98.6
Busia,99.4
Siaya,99.1
Kisumu,98
Homa Bay,95.1
Migori,100
Kisii,98.5
Nyamira,100
Nairobi City,100
