Source:,"National Syndemic Diseases Control Council, 2023; Kenya Demographic and Health Survey 2022; World Bank, 2023; UNAIDS, 2023",,
Link:,https://nsdcc.go.ke/triple-threat/,,
,,,
"This dataset contains information on adolescent pregnancy, HIV infection, and sexual and gender-based violence indicators in Kenya 2021 to 2023.",,,
,,,
Indicator,Value,Population,Year
Adolescent pregnancies,"316,187",Girls aged 10–19,2021
Ever been pregnant,15%,Girls aged 15–19,2022
Adolescent fertility rate,"96 births per 1,000",Girls aged 15–19,2022
New HIV infections,98 per week,Adolescents aged 10–19,2023
Share of new HIV infections,41%,Adolescents and young people aged 10–24,2022
Experienced physical violence since age 15,34%,Women aged 15–49,2022
Experienced sexual violence (ever),13%,Women aged 15–49,2022
Survivors who sought formal help,41%,Women experiencing sexual violence,2022
