Source:,https://www.who.int/mental_health/policy/country/uganda_country_summary_2012.pdf?ua=1,
As at 2010,,
,,
Hospital,General Bed Capacity,Mental Health Inpatient Bed Capacity
Arua Regional Referral Hospital,319,40
Fort Portal Regional Referral Hospital,331,20
Gulu Regional Referral Hospital,432,30
Hoima Regional Referral Hospital,240,20
Jinja Regional Referral Hospital,396,40
Kabale Regional Referral Hospital,254,26
Lira Regional Referral Hospital,322,28
Mbale Regional Referral Hospital,440,22
Mbarara Regional Referral Hospital,295,20
Moroto Regional Referral Hospital,133,16
Mubende Regional Referral Hospital,100,20
Soroti Regional Referral Hospital,260,35
Masaka Regional Referral Hospital,302,20
Butabika National Referal Hospital,,550
Mulago National Referal Hospital,1700,50
Bed Capacity in Uganda,5524,937
,,
,,
,,
,,
,,
,,
Source,https://apps.who.int/gho/data/view.main.HS07v,
,,
,,
Country,Year,Hospital beds (per 10 000 population)
Kenya,2010,14
Uganda,2010,5
United Republic of Tanzania,2010,7
